"","Name","Pos2","Age","Year","FG","Bhind_Arc","In_Arc","FreeT","OfReb","DefReb","Assist","Steal","Block","TOV","Fouls","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"2910","Timofey Mozgov","C",27,2014,285,4,281,196,171,357,62,27,100,122,213,-1.9912977815673,189.756757526281,102.935929401486,130.896179693967,206.123384734718,95.0942371794578,92.4749160757834,58.8200683048943,83.2033179342182,145.958323355824
"2911","Timothe Luwawu-Cabarrot","SF",23,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7151099836956,96.6318389707731,90.8110815861917,23.749169717277,120.292797776951,79.0877244441567,26.1768462181327,9.8829979149886,62.2218907725933,132.195294619503
"2912","Timothe Luwawu-Cabarrot","SF",22,2018,100,53,47,46,14,58,54,12,5,38,97,56.6291379471113,81.1729974504511,81.5467439896927,21.3259093614668,102.102088252954,70.2821678788896,23.7723885034133,8.48373787144129,58.2449944408054,128.286643369183
"2913","Timothe Luwawu-Cabarrot","SF",21,2017,145,50,95,105,25,124,75,32,10,73,154,46.3708620528937,60.8270025495522,69.4532560103199,17.674090638524,79.8979117470647,58.7178321211238,20.2276114965921,6.5162621285616,52.7550055592016,122.713356630825
"2914","Timothe Luwawu-Cabarrot","SF",20,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9402823010427,35.5938542680775,54.5306176480738,12.7937135484488,53.6802682592832,44.3947171708589,15.5425151976694,3.9805706863496,45.7519241277817,115.475434404428
"2915","Timothe Luwawu-Cabarrot","SF",19,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3373986915584,5.47355260602541,36.7788289029543,6.6847780912408,23.4491577896095,27.3128230280949,9.71709960664479,0.876663544805236,37.2357501465459,106.572876689993
"2916","Timothe Luwawu-Cabarrot","SF",18,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.56221122444071,-29.533902436603,16.1978897749614,-0.652715733099615,-10.7954196619563,7.47214969283185,2.75136472351839,-2.79545929607147,27.206483615494,96.0056834875194
"2917","Tobias Harris","PF",26,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.690196821588,309.207757658085,165.550860875136,106.126989231763,319.670993662538,203.422773733312,151.711776683652,61.9567016339815,96.1652262462869,126.20277631077
"2918","Tobias Harris","PF",25,2018,562,183,379,179,58,379,192,71,35,105,164,98.1211363579041,308.410376279493,164.773974427257,107.389403977351,313.520685084218,202.893554745542,152.728276845238,62.2620886884312,96.7276075639472,127.288031524566
"2919","Tobias Harris","PF",24,2017,511,109,402,190,63,353,142,60,39,96,133,91.3797720365865,302.725841520324,161.167937596505,107.423260355806,303.356909524005,199.605556565274,152.604457714722,61.9992600435487,95.7768963317912,126.708651250323
"2920","Tobias Harris","PF",23,2016,417,0.469,0.335,0.518,243,0.831,414,510,169,65,40,83.4661038576357,292.154153380579,154.732750382879,106.228558367128,289.179666981901,193.558779192505,151.340319292104,61.1682156993337,93.3130925498194,124.464635488042
"2921","Tobias Harris","PF",22,2015,442,87,355,193,73,357,124,69,36,115,134,74.3801318210514,276.695311860257,145.46841278638,103.805298011318,270.988957457904,184.753222627238,148.935861577385,59.7689556557864,89.3361962180315,120.555984237722
"2922","Tobias Harris","PF",21,2014,332,32,300,197,88,336,82,41,24,78,143,64.1218559268338,256.349316959358,133.374924807007,100.153479288375,248.784780952015,173.188886869472,145.391084570564,57.8014799129067,83.8462073364278,114.982697499364
"2923","Tomas Satoransky","SG",27,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1812868378949,99.308918687315,47.3361792889497,45.3778195144822,114.711995885595,187.035049289161,35.8349304655217,9.473703718994,58.1433354736965,92.2074816912709
"2924","Tomas Satoransky","SG",26,2018,201,47,154,75,72,161,286,51,15,83,131,30.784530231844,103.398690689299,49.3884432239442,47.8687926272023,112.575154289167,189.26460949389,37.9917499192092,10.3473064727762,60.2188093411727,94.957372393105
"2925","Tomas Satoransky","SG",25,2017,61,9,52,23,25,58,92,26,6,38,60,25.2154697681596,102.601309310707,48.6115567760652,49.1312073727896,106.424845710847,188.73539050612,39.0082500807951,10.6526935272258,60.781190658833,96.0426276069008
"2926","Tomas Satoransky","SG",24,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.474105446842,96.9167745515385,45.0055199453129,49.1650637512446,96.2610701506339,185.447392325852,38.884430950279,10.3898648823433,59.830479426677,95.463247332658
"2927","Tomas Satoransky","SG",23,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5604372678912,86.3450864117937,38.5703327316869,47.970361762567,82.0838276085294,179.400614953083,37.6202925276614,9.55882053812833,57.3666756447052,93.2192315703768
"2928","Tomas Satoransky","SG",22,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47446523130689,70.8862448914717,29.3059951351879,45.5471014067567,63.8931180845323,170.595058387816,35.2158348129419,8.15956049458102,53.3897793129173,89.3105803200571
"2929","Tony Allen","SF",37,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.19803048031432,2.13609609906051,-30.4211017596915,61.7845631163908,13.7907832600878,17.3830603808392,92.0812400442926,12.8055835560125,35.4331721023556,54.8698052054971
"2930","Tony Allen","SF",36,2018,44,4,40,11,20,27,9,11,3,19,49,-1.87174851003184,55.0974019068108,-0.0773339959630164,76.5611199004364,51.7886114825816,47.2004125105582,105.641252418997,19.3613433031182,52.6395714679917,74.2660507877158
"2931","Tony Allen","SF",35,2017,274,15,259,80,166,225,98,115,29,100,178,4.28222960261754,103.171554333986,27.4372833848927,90.1091183173495,85.7729727231837,74.2589854477783,118.060945501601,25.3488873508916,68.3328782838118,91.9976608818965
"2932","Tony Allen","SF",34,2016,215,0.458,0.357,0.468,138,0.652,192,296,70,110,18,9.26390385763315,146.358553380584,52.1227503828748,102.42855836713,115.743866981894,98.5587791924995,129.340319292102,30.7682156993326,82.5130925498162,108.064635488038
"2933","Tony Allen","SF",33,2015,225,10,215,79,103,177,86,129,30,86,166,13.0732742550157,184.658399046605,73.9790669979828,113.519440049778,141.701294258711,120.099793744721,139.479373790502,35.6193283484411,95.1802142660044,122.466974606142
"2934","Tony Allen","SF",32,2014,204,11,193,76,79,129,94,90,19,90,121,15.7103407947648,218.071091332049,93.006233230218,123.381763365293,163.645254553636,138.882029104444,148.4781089968,39.9022252982174,106.334243432376,135.204678236207
"2935","Tony Bradley","C",21,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4305797518538,28.2331482814761,16.9226383622525,8.88037709007063,33.2176434877914,15.3231149502726,4.68509629892597,2.53569144221361,7.00308143142408,8.23792222640077
"2936","Tony Bradley","C",20,2018,3,0,3,2,4,7,1,0,0,0,1,2.73914224635519e-12,3.00000000000134,2.00000000000645,3.99999999999535,7.00000000000989,1.0000000000077,3.21165316563565e-12,1.61470836701483e-12,4.17799128626939e-12,1.00000000000421
"2937","Tony Bradley","C",19,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.6028836094815,-27.1203016620507,-15.751788745113,-2.10893545721262,-23.2311104696638,-16.0818941427563,-5.82541559102137,-3.10390714154275,-8.51617398123167,-7.90255771443094
