"","Name","Pos2","Age","Year","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"7","Aaron Gordon","PF",23,2019,87.3956897355466,272.864987252248,151.733719948438,109.879546807352,339.260441264732,140.660839394422,59.8619425170557,45.4186893572007,88.7249722040138,143.683216845899
"25","Abdel Nader","SF",25,2019,29.7413643213195,32.6845347591705,26.6060368307579,12.9661436215407,68.1637755602203,29.2879981802756,15.1238191305187,10.2628286448838,34.9507112321594,45.579380274246
"31","Adreian Payne","PF",27,2019,17.6726511592126,41.743453446483,18.4422161197024,16.5939631360271,74.3757714458091,17.8230474694299,8.70874959603768,5.98653236387669,21.0940467058523,48.0368619655137
"49","Al-Farouq Aminu","PF",28,2019,87.962573675788,137.617837374626,85.6723585778953,96.7556390289683,370.023991771184,94.8700985783172,67.2698609310414,45.347407437987,82.4866709473906,132.014963382539
"55","Alan Williams","PF",26,2019,12.7011927375486,59.7776339312894,33.6593067395944,36.1132483316642,97.9852397991712,16.7368102322113,11.487425399633,12.8135134902114,17.5593607644374,51.0490035564627
"67","Alec Peters","PF",23,2019,27.0859720365866,25.4588415203247,17.2643375965052,10.4232603558056,47.190709524005,20.8055565652737,4.40445771472198,3.39926004354854,7.97689633179125,16.908651250323
"91","Alex Poythress","PF",25,2019,15.6981984107953,23.9703788290435,10.823630437571,9.56349461587934,31.2523968312731,9.81138686665935,3.7558883418273,2.17835081699142,4.68261312314543,16.7013881553869
"97","Alfonzo McKinnie","SF",26,2019,8.56906046368549,5.7973813785955,2.77688644788419,-0.262414745591677,12.1503085783282,1.52921898777555,-0.0165001615836289,0.694612945551068,2.43761868234243,6.91474478620762
"121","Andre Iguodala","SF",35,2019,47.1441926654863,31.3876163825198,3.66020053754966,17.9559133191858,148.741185151442,174.335735535834,48.1231557969036,13.8148777520072,41.9117274012521,58.6576181337287
"151","Andrew White","SF",25,2019,24.7413643213195,12.6845347591696,4.60603683075749,3.96614362154069,40.1637755602209,9.28799818027463,3.12381913051871,1.26282864488369,8.95071123215961,12.5793802742457
