Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Bennett,PF,21,MIN,57,3,894,125,297,7,23,118,274,41,64,52,164,216,48,27,16,36,87,298
Anthony Davis,PF,21,NOP,68,68,2455,642,1199,1,12,641,1187,371,461,173,523,696,149,100,200,95,141,1656
Anthony Morrow,SG,29,OKC,74,0,1806,285,615,141,325,144,290,79,89,40,155,195,60,54,11,38,135,790
Anthony Tolliver,PF,29,TOT,76,11,1432,161,393,106,290,55,103,54,69,51,185,236,59,24,16,51,137,482
Archie Goodwin,SG,20,PHO,41,2,535,79,201,12,41,67,160,61,83,27,47,74,44,18,9,48,55,231
Arinze Onuaku,C,27,MIN,6,1,68,12,14,0,0,12,14,3,8,7,14,21,4,1,3,2,6,27
Aron Baynes,C,28,SAS,70,17,1122,185,327,1,4,184,323,90,104,109,209,318,35,16,22,65,162,461
Arron Afflalo,SG,29,TOT,78,72,2502,375,884,118,333,257,551,167,198,27,220,247,129,41,7,116,167,1035
Austin Daye,SF,26,TOT,34,4,344,50,141,24,71,26,70,5,6,10,65,75,17,12,5,23,39,129
Austin Rivers,PG-SG,22,TOT,76,5,1563,203,496,39,131,164,365,85,126,27,125,152,155,48,14,65,146,530
Avery Bradley,SG,24,BOS,77,77,2428,434,1012,124,352,310,660,79,100,46,195,241,135,82,15,109,177,1071
Ben Gordon,SG,31,ORL,56,0,790,129,295,35,97,94,198,56,67,6,57,63,50,14,1,55,60,349
Ben McLemore,SG,21,SAC,82,82,2670,363,831,140,391,223,440,130,160,31,210,241,140,77,19,138,219,996
Beno Udrih,PG,32,MEM,79,12,1494,246,505,26,97,220,408,87,102,20,123,143,220,46,8,89,88,605
Bernard James,C,29,DAL,16,2,158,12,27,0,0,12,27,20,23,18,21,39,4,2,15,6,17,44
Bismack Biyombo,C,22,CHO,64,21,1243,101,186,0,0,101,186,102,175,159,248,407,16,18,99,52,140,304
Blake Griffin,PF,25,LAC,67,67,2356,574,1144,10,25,564,1119,311,427,126,382,508,354,63,35,152,196,1469
Bojan Bogdanovic,SF,25,BRK,78,28,1854,261,576,91,256,170,320,87,106,50,163,213,68,34,9,78,104,700
Boris Diaw,PF,32,SAS,81,15,1984,291,632,54,169,237,463,72,93,78,270,348,233,36,23,126,148,708
Bradley Beal,SG,21,WAS,63,59,2107,363,851,106,259,257,592,130,166,57,184,241,194,76,18,123,136,962
Brandan Wright,PF,27,TOT,75,7,1449,233,363,0,3,233,360,78,112,128,193,321,41,50,94,34,102,544
Brandon Bass,PF,29,BOS,82,43,1929,344,683,9,32,335,651,169,214,139,259,398,104,41,32,83,140,866
Brandon Davies,PF,23,TOT,27,6,423,55,137,8,34,47,103,24,37,38,45,83,30,18,7,29,59,142
Brandon Jennings,PG,25,DET,41,41,1173,218,543,76,211,142,332,120,143,21,83,104,272,44,4,90,64,632
Brandon Knight,PG-SG,23,TOT,63,61,2035,375,888,125,321,250,567,195,223,28,216,244,330,90,10,189,114,1070
Brandon Rush,SG,29,GSW,33,0,271,11,54,3,27,8,27,5,11,4,37,41,12,5,12,11,27,30
Brendan Haywood,C,35,CLE,22,1,119,14,30,0,0,14,30,7,13,6,23,29,2,2,10,10,17,35
Brian Roberts,PG,29,CHO,72,10,1330,176,452,62,193,114,259,66,74,13,96,109,162,33,6,57,75,480
Brook Lopez,C,26,BRK,72,44,2100,506,987,1,10,505,977,223,274,214,321,535,50,43,126,104,206,1236
Bruno Caboclo,SF,19,TOR,8,0,23,4,12,2,3,2,9,0,0,1,1,2,0,0,1,4,3,10
Bryce Cotton,PG,22,UTA,15,0,159,29,69,7,20,22,49,15,18,3,15,18,15,4,0,12,6,80
C.J. McCollum,SG,23,POR,62,3,973,159,365,55,139,104,226,51,73,14,77,91,64,43,8,48,81,424
C.J. Miles,SG,27,IND,70,40,1841,329,827,154,446,175,381,130,161,18,196,214,75,60,26,73,132,942
C.J. Watson,PG,30,IND,57,21,1422,181,417,70,175,111,242,138,167,18,145,163,208,57,9,100,107,570
C.J. Wilcox,SG,24,LAC,21,0,101,16,38,7,19,9,19,2,2,1,6,7,8,3,1,10,7,41
Cameron Bairstow,PF,24,CHI,18,1,64,3,14,0,0,3,14,4,5,6,2,8,1,2,1,3,8,10
Carl Landry,PF,31,SAC,70,15,1192,190,369,0,0,190,369,123,150,99,169,268,26,15,17,54,132,503
Carlos Boozer,PF,33,LAL,71,26,1692,371,743,0,0,371,743,94,150,111,371,482,95,41,12,92,184,836
Carmelo Anthony,SF,30,NYK,40,40,1428,358,806,61,179,297,627,189,237,72,192,264,122,40,17,89,87,966
Caron Butler,SF,34,DET,78,21,1623,161,396,83,219,78,177,55,61,21,175,196,79,43,4,49,120,460
Cartier Martin,SF,30,DET,23,0,198,15,53,6,33,9,20,0,0,0,20,20,11,3,1,5,20,36
Chandler Parsons,SF,26,DAL,66,66,2186,383,829,132,347,251,482,139,193,64,259,323,161,69,19,96,140,1037
Channing Frye,PF,31,ORL,75,51,1870,191,487,136,346,55,141,31,35,27,266,293,94,47,39,78,191,549
Charlie Villanueva,PF,30,DAL,64,1,678,150,362,83,221,67,141,20,35,30,119,149,19,15,22,28,64,403
Chase Budinger,SF,26,MIN,67,4,1286,169,390,52,143,117,247,67,81,33,165,198,64,44,10,49,72,457
Chris Andersen,C,36,MIA,60,20,1132,120,207,4,13,116,194,76,114,76,223,299,43,26,61,40,88,320
Chris Bosh,C,30,MIA,44,44,1556,343,745,63,168,280,577,179,232,46,264,310,95,41,25,95,69,928
Chris Copeland,SF,30,IND,50,12,828,112,310,52,167,60,143,33,45,23,88,111,51,11,11,59,78,309
Chris Douglas-Roberts,SG,28,LAC,12,0,103,5,21,1,7,4,14,8,8,1,11,12,4,1,0,0,14,19
Chris Johnson,SF,24,TOT,29,2,526,62,154,28,95,34,59,14,16,8,47,55,15,26,7,15,44,166
Chris Kaman,C,32,POR,74,13,1398,283,549,0,0,283,549,72,102,149,335,484,65,18,54,108,140,638
Chris Paul,PG,29,LAC,82,82,2857,568,1170,139,349,429,821,289,321,52,324,376,838,156,15,190,203,1564
Chuck Hayes,C,31,TOR,29,0,255,22,46,0,0,22,46,6,11,18,33,51,20,10,4,8,37,50
Cleanthony Early,SF,23,NYK,39,7,647,76,214,22,84,54,130,36,48,22,75,97,36,24,12,40,57,210
Clint Capela,C,20,HOU,12,0,90,14,29,0,0,14,29,4,23,10,26,36,2,1,9,5,14,32
Cody Zeller,C,22,CHO,62,45,1487,172,373,1,1,171,372,127,164,97,265,362,100,34,49,62,156,472
Cole Aldrich,C,26,NYK,61,16,976,144,301,0,0,144,301,50,64,101,237,338,75,37,65,59,122,338
Corey Brewer,SF,28,TOT,80,17,2087,343,805,63,235,280,570,168,226,80,217,297,173,114,19,131,173,917
Cory Jefferson,PF,24,BRK,50,1,531,75,167,2,15,73,152,31,54,47,98,145,16,10,21,20,61,183
Cory Joseph,PG,23,SAS,79,14,1444,207,411,16,44,191,367,105,143,44,148,192,188,46,17,67,105,535
Courtney Lee,SG,29,MEM,77,74,2354,288,643,90,224,198,419,111,129,21,157,178,151,75,12,78,129,777
D.J. Augustin,PG,27,TOT,82,14,1964,258,647,83,246,175,401,178,205,20,141,161,353,49,3,145,93,777
Dahntay Jones,SF,34,LAC,33,0,123,6,21,0,4,6,17,9,11,1,10,11,2,3,0,1,23,21
Damian Lillard,PG,24,POR,82,82,2925,590,1360,196,572,394,788,344,398,49,329,378,507,97,21,222,164,1720
Damjan Rudez,SF,28,IND,68,2,1047,119,263,69,170,50,93,16,23,8,39,47,53,16,5,47,79,323
Danilo Gallinari,SF,26,DEN,59,27,1426,228,568,107,301,121,267,171,191,31,187,218,83,47,20,57,94,734
Danny Granger,SF,31,MIA,30,6,613,65,162,30,84,35,78,28,37,20,60,80,17,13,6,24,67,188
Danny Green,SG,27,SAS,81,80,2312,322,738,191,457,131,281,111,127,54,289,343,158,101,87,93,163,946
Dante Cunningham,PF,27,NOP,66,27,1652,155,339,1,10,154,329,29,47,70,186,256,50,46,37,35,101,340
Dante Exum,PG,19,UTA,82,41,1817,145,416,83,264,62,152,20,32,27,104,131,198,41,14,118,147,393
Darius Miller,SF,24,NOP,5,1,43,1,7,0,1,1,6,0,0,0,1,1,2,1,0,1,8,2
Darius Morris,PG,24,BRK,38,0,299,36,106,7,33,29,73,4,9,7,20,27,48,9,0,21,20,83
Darrell Arthur,PF,26,DEN,58,4,988,155,384,26,110,129,274,46,59,53,118,171,57,48,26,47,146,382
Darren Collison,PG,27,SAC,45,45,1565,260,550,60,161,200,389,145,184,19,124,143,252,67,14,112,95,725
David Lee,PF,31,GSW,49,4,904,160,313,0,2,160,311,68,104,81,176,257,85,31,26,49,83,388
David Stockton,PG,23,SAC,3,0,33,2,6,1,2,1,4,3,6,0,2,2,9,2,0,4,1,8
David Wear,PF,24,SAC,2,0,7,0,2,0,1,0,1,0,0,2,0,2,1,0,0,0,1,0
David West,PF,34,IND,66,66,1895,323,686,4,20,319,666,119,161,108,341,449,223,48,48,120,160,769
DeAndre Jordan,C,26,LAC,82,82,2820,379,534,1,4,378,530,187,471,397,829,1226,61,81,183,109,245,946
DeJuan Blair,PF,25,WAS,29,0,180,26,57,0,0,26,57,4,6,16,40,56,3,7,1,13,41,56
DeMar DeRozan,SG,25,TOR,60,60,2100,409,990,25,88,384,902,361,434,41,236,277,210,73,11,137,122,1204
DeMarcus Cousins,C,24,SAC,59,59,2013,498,1066,2,8,496,1058,423,541,185,562,747,210,90,103,254,241,1421
DeMarre Carroll,SF,28,ATL,70,69,2189,318,653,120,304,198,349,127,181,99,273,372,118,94,17,75,154,883
Dennis Schroder,PG,21,ATL,77,10,1516,284,665,52,148,232,517,148,179,29,135,164,317,49,4,150,127,768
Deron Williams,PG,30,BRK,68,55,2114,298,771,87,237,211,534,201,241,29,208,237,448,64,17,154,157,884
Derrick Favors,PF,23,UTA,74,74,2280,482,918,1,6,481,912,222,332,196,411,607,112,60,123,121,210,1187
Derrick Rose,PG,26,CHI,51,51,1530,338,835,76,271,262,564,152,187,35,126,161,251,36,16,161,63,904
Derrick Williams,PF,23,SAC,74,6,1462,217,485,49,156,168,329,134,196,41,161,202,50,34,4,56,67,617
Devin Harris,PG,31,DAL,76,3,1685,219,524,95,266,124,258,132,162,13,122,135,237,78,14,85,147,665
Devyn Marble,SG,22,ORL,16,7,208,14,44,4,22,10,22,5,16,5,26,31,17,9,2,9,14,37
Dewayne Dedmon,C,25,ORL,59,15,845,91,162,0,1,91,161,34,64,118,177,295,9,16,50,51,141,216
Dion Waiters,SG,23,TOT,80,23,2208,375,946,73,246,302,700,117,172,41,151,192,163,90,21,113,155,940
Dirk Nowitzki,PF,36,DAL,77,77,2282,487,1062,104,274,383,788,255,289,44,413,457,143,39,33,82,160,1333
Donald Sloan,PG,27,IND,53,21,1107,145,355,41,131,104,224,60,77,12,131,143,190,23,0,65,47,391
Donatas Motiejunas,PF,24,HOU,71,62,2037,353,700,49,133,304,567,100,166,137,284,421,130,56,34,123,203,855
Dorell Wright,SF,29,POR,48,2,592,72,190,41,108,31,82,34,42,14,97,111,41,20,11,18,55,219
Doug McDermott,SF,23,CHI,36,0,321,43,107,13,41,30,66,10,15,6,37,43,6,4,1,17,29,109
Draymond Green,PF,24,GSW,79,79,2490,339,765,111,329,228,436,132,200,114,533,647,291,123,99,133,253,921
Drew Gooden,PF,33,WAS,51,7,864,110,276,23,59,87,217,34,44,72,151,223,49,21,9,28,91,277
Drew Gordon,PF,24,PHI,9,0,71,8,19,0,3,8,16,1,2,7,11,18,2,1,0,8,7,17
Dwight Buycks,PG,25,LAL,6,0,123,18,40,7,11,11,29,9,10,2,10,12,14,3,0,12,3,52
Dwight Howard,C,29,HOU,41,41,1223,251,423,1,2,250,421,143,271,110,321,431,50,28,53,115,137,646
Dwight Powell,PF,23,TOT,29,0,236,31,67,3,11,28,56,25,33,18,32,50,9,9,6,11,40,90
Dwyane Wade,SG,33,MIA,62,62,1971,509,1084,29,102,480,982,284,370,58,161,219,299,73,21,209,105,1331
E'Twaun Moore,SG,25,CHI,56,0,504,62,139,13,38,49,101,12,20,12,34,46,33,20,6,14,45,149
Earl Barron,C,33,PHO,16,1,143,12,39,2,4,10,35,6,12,14,14,28,5,4,2,5,26,32
Earl Clark,PF,27,BRK,10,0,93,11,30,4,14,7,16,1,4,1,22,23,3,3,4,6,12,27
Ed Davis,PF,25,LAL,79,24,1840,282,469,0,0,282,469,92,189,230,370,600,94,49,98,58,202,656
Ekpe Udoh,PF,27,LAC,33,0,128,11,24,0,0,11,24,7,9,7,19,26,8,8,7,7,20,29
Elfrid Payton,PG,20,ORL,82,63,2489,301,708,11,42,290,666,118,214,107,242,349,533,142,20,203,193,731
Elijah Millsap,SG,27,UTA,47,5,924,81,238,28,90,53,148,58,86,28,122,150,58,56,16,67,124,248
Elliot Williams,SG,25,TOT,13,0,119,14,37,8,18,6,19,1,4,0,8,8,12,4,0,4,12,37
Elton Brand,C,35,ATL,36,4,486,42,95,0,1,42,94,12,23,28,72,100,22,17,25,18,54,96
Enes Kanter,C,22,TOT,75,74,2135,482,928,16,45,466,883,183,234,277,394,671,55,36,29,145,189,1163
Eric Bledsoe,PG,25,PHO,81,81,2800,468,1046,88,272,380,774,353,441,72,351,423,493,127,45,274,189,1377
Eric Gordon,SG,26,NOP,61,60,2018,285,694,141,315,144,379,107,133,28,131,159,229,50,14,122,145,818
Eric Moreland,PF,23,SAC,3,0,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,2
Erick Green,PG,23,DEN,43,1,410,61,162,14,47,47,115,10,12,7,24,31,39,12,0,14,26,146
Ersan Ilyasova,PF,27,MIL,58,36,1319,263,557,74,190,189,367,69,107,80,197,277,56,36,19,45,149,669
Evan Fournier,SG,22,ORL,58,32,1661,253,575,85,225,168,350,107,147,28,125,153,120,40,2,82,116,698
Evan Turner,SG,26,BOS,82,57,2260,320,746,33,119,287,627,106,141,40,377,417,449,83,19,198,180,779
Festus Ezeli,C,25,GSW,46,7,504,76,139,0,0,76,139,49,78,60,95,155,9,7,42,32,77,201
Francisco Garcia,SF,33,HOU,14,0,200,17,63,10,45,7,18,1,4,3,14,17,15,9,5,10,20,45
Furkan Aldemir,PF,23,PHI,41,9,540,40,78,0,5,40,73,13,27,78,98,176,28,17,16,17,96,93
Gal Mekel,PG,26,NOP,4,0,43,3,20,0,3,3,17,0,0,0,1,1,13,2,0,2,1,6
Garrett Temple,SG,28,WAS,52,18,735,68,170,33,88,35,82,35,48,24,66,90,56,42,9,34,76,204
Gary Harris,SG,20,DEN,55,6,719,66,217,21,103,45,114,35,47,21,43,64,29,39,7,38,71,188
Gary Neal,SG,30,TOT,54,1,1193,188,503,50,164,138,339,117,135,14,115,129,100,23,1,65,88,543
George Hill,PG,28,IND,43,36,1267,255,535,69,193,186,342,113,143,25,154,179,220,44,14,69,111,692
Gerald Green,SG,29,PHO,74,4,1446,324,778,137,387,187,391,99,120,33,153,186,91,42,12,104,145,884
Gerald Henderson,SG,27,CHO,80,72,2315,370,847,45,136,325,711,184,217,36,237,273,206,51,22,110,135,969
Gerald Wallace,SF,32,BOS,32,0,286,14,34,1,3,13,31,6,15,17,40,57,11,15,4,18,19,35
Giannis Antetokounmpo,SG,20,MIL,81,71,2541,383,780,7,44,376,736,257,347,100,442,542,207,73,85,173,254,1030
Glen Davis,PF,29,LAC,74,0,904,117,255,0,4,117,251,60,95,43,126,169,39,41,21,39,132,294
Glen Rice,SG,24,WAS,5,0,43,3,15,1,7,2,8,4,6,2,2,4,2,0,0,2,11,11
Glenn Robinson,SG-SF,21,TOT,35,1,261,26,67,5,19,21,48,16,24,15,24,39,11,6,1,11,15,73
Goran Dragic,SG-PG,28,TOT,78,78,2640,502,1002,90,259,412,743,181,234,81,193,274,350,78,15,173,195,1275
Gordon Hayward,SF,24,UTA,76,76,2618,484,1087,120,330,364,757,375,462,54,319,373,313,108,30,206,131,1463
Gorgui Dieng,C,25,MIN,73,49,2193,259,512,1,6,258,506,191,244,223,386,609,146,71,126,126,188,710
Grant Jerrett,PF,21,TOT,8,0,51,7,26,1,15,6,11,1,1,2,7,9,3,2,2,3,11,16
Greg Monroe,PF,24,DET,69,57,2137,423,853,0,0,423,853,252,336,229,475,704,142,78,34,149,148,1098
Greg Smith,PF,24,DAL,42,2,363,30,49,0,0,30,49,20,39,26,53,79,9,7,11,11,53,80
Greg Stiemsma,C,29,TOR,17,0,66,6,8,0,0,6,8,2,4,9,6,15,3,2,0,7,15,14
Greivis Vasquez,PG,28,TOR,82,29,1991,296,725,133,351,163,374,50,66,22,194,216,302,46,10,119,177,775
Harrison Barnes,SF,22,GSW,82,82,2318,316,656,87,215,229,441,108,150,117,336,453,116,61,19,71,146,827
Hassan Whiteside,C,25,MIA,48,32,1142,243,387,0,0,243,387,78,156,145,337,482,6,27,123,58,129,564
Hedo Turkoglu,SF,35,LAC,62,2,705,83,188,60,139,23,49,6,11,5,94,99,37,19,7,29,66,232
Henry Sims,C,24,PHI,73,32,1399,238,502,4,22,234,480,106,137,121,238,359,79,39,30,99,135,586
Henry Walker,SF,27,MIA,24,13,628,58,168,45,132,13,36,14,18,7,75,82,29,24,9,24,76,175
Hollis Thompson,SG,23,PHI,71,23,1776,224,543,115,287,109,256,63,89,53,145,198,85,57,26,66,141,626
Ian Clark,SG,23,TOT,30,0,192,19,55,10,30,9,25,9,9,4,12,16,12,9,3,9,20,57
Ian Mahinmi,C,28,IND,61,6,1146,117,212,0,0,117,212,31,102,105,251,356,33,30,46,59,172,265
Iman Shumpert,SG,24,TOT,62,25,1545,193,471,67,196,126,275,43,64,55,169,224,135,81,16,91,138,496
Isaiah Canaan,PG,23,TOT,47,21,938,146,378,91,246,55,132,49,60,18,69,87,98,29,3,62,83,432
Isaiah Thomas,PG,25,TOT,67,1,1726,335,797,129,346,206,451,302,348,33,120,153,284,57,5,143,150,1101
Ish Smith,PG,26,TOT,55,14,832,143,367,18,60,125,307,34,57,15,85,100,180,36,6,78,50,338
J.J. Barea,PG,30,DAL,77,10,1362,225,536,54,167,171,369,76,94,23,111,134,263,33,1,70,104,580
J.J. Hickson,C,26,DEN,73,8,1411,218,459,0,2,218,457,116,201,150,302,452,57,36,35,96,136,552
J.J. Redick,SG,30,LAC,78,78,2409,447,938,200,458,247,480,183,203,22,145,167,137,39,8,95,134,1277
J.R. Smith,SG,29,TOT,70,51,2080,315,755,163,426,152,329,54,72,30,188,218,195,82,22,97,163,847
Jabari Brown,SG,22,LAL,19,5,568,70,170,23,62,47,108,64,85,3,33,36,40,12,2,32,33,227
Jabari Parker,PF,19,MIL,25,25,738,129,263,4,16,125,247,46,66,50,88,138,42,31,5,47,42,308
Jack Cooley,C,23,UTA,16,0,87,9,22,0,0,9,22,9,21,10,15,25,1,6,3,3,23,27
Jae Crowder,SF,24,TOT,82,17,1647,229,545,61,208,168,337,109,141,72,221,293,94,72,25,49,137,628
JaKarr Sampson,SF,21,PHI,74,32,1131,146,346,31,127,115,219,63,94,35,128,163,77,38,26,76,135,386
Jamaal Franklin,SG,23,DEN,3,0,13,1,2,1,2,0,0,0,0,1,1,2,3,0,1,3,4,3
Jamal Crawford,SG,34,LAC,64,4,1703,332,839,119,364,213,475,227,252,18,106,124,158,59,14,92,108,1010
Jameer Nelson,PG,32,TOT,63,29,1407,205,504,89,258,116,246,24,36,33,113,146,253,47,6,109,136,523
James Ennis,SF,24,MIA,62,3,1051,101,247,31,95,70,152,79,94,51,125,176,48,25,17,39,89,312
James Harden,SG,25,HOU,81,81,2981,647,1470,208,555,439,915,715,824,75,384,459,565,154,60,321,208,2217
James Johnson,PF,27,TOR,70,17,1370,238,404,11,51,227,353,67,102,61,196,257,95,54,70,79,155,554
James Jones,SF,34,CLE,57,2,669,74,201,63,175,11,26,39,46,9,53,62,24,13,8,13,67,250
James Michael McAdoo,PF,22,GSW,15,0,137,24,44,0,0,24,44,14,25,15,22,37,2,5,9,6,21,62
James Young,SG,19,BOS,31,0,332,36,102,17,66,19,36,16,29,9,33,42,13,8,2,5,22,105
JaMychal Green,PF,24,TOT,24,1,164,27,47,0,6,27,41,8,10,19,26,45,4,5,5,14,25,62
Jannero Pargo,PG,35,CHO,9,0,73,15,35,9,22,6,13,2,2,0,3,3,8,0,0,3,8,41
Jared Cunningham,SG,23,LAC,19,0,89,12,33,4,13,8,20,7,13,1,8,9,10,3,0,7,12,35
Jared Dudley,SG,29,MIL,72,22,1717,198,423,74,192,124,231,48,67,45,175,220,130,72,11,62,113,518
Jared Sullinger,PF,22,BOS,58,49,1566,311,708,52,184,259,524,96,129,147,294,441,134,44,42,78,153,770
Jarnell Stokes,PF,21,MEM,19,2,126,21,37,0,0,21,37,15,28,16,18,34,4,5,5,7,25,57
Jarrett Jack,PG,31,BRK,80,27,2241,359,817,39,146,320,671,200,227,19,226,245,373,75,13,191,143,957
Jason Maxiell,PF,31,CHO,61,0,878,81,192,0,0,81,192,41,71,86,117,203,19,18,44,29,96,203
Jason Richardson,SG,34,PHI,19,15,416,62,178,31,96,31,82,17,22,13,53,66,38,13,3,16,28,172
Jason Smith,C,28,NYK,82,31,1785,257,592,15,42,242,550,127,153,98,226,324,140,32,44,104,205,656
Jason Terry,SG,37,HOU,77,18,1641,188,446,126,323,62,123,39,48,15,106,121,147,66,19,74,116,541
Jason Thompson,PF,28,SAC,81,63,1991,201,428,0,1,201,427,89,143,139,391,530,85,33,57,84,239,491
JaVale McGee,C,27,TOT,23,0,256,42,79,0,0,42,79,22,33,18,43,61,3,2,20,18,30,106
Jeff Adrien,PF,28,MIN,17,0,215,19,44,0,0,19,44,22,38,23,54,77,15,4,9,9,30,60
Jeff Ayres,PF,27,SAS,51,0,383,55,95,0,0,55,95,27,36,37,80,117,14,8,8,26,60,137
Jeff Green,SF,28,TOT,78,70,2454,416,967,97,292,319,675,239,287,64,264,328,134,53,34,108,147,1168
Jeff Teague,PG,26,ATL,73,72,2228,408,887,71,207,337,680,275,319,30,154,184,513,125,31,205,139,1162
Jeff Withey,C,24,NOP,37,0,259,32,64,0,0,32,64,34,50,23,41,64,11,4,18,12,26,98
Jeffery Taylor,SF,25,CHO,29,13,430,45,114,11,36,34,78,26,41,14,39,53,22,12,1,19,36,127
Jerami Grant,SF,20,PHI,65,11,1377,124,352,49,156,75,196,114,193,49,149,198,79,40,68,85,144,411
Jerel McNeal,PG,27,PHO,6,0,36,3,11,1,2,2,9,2,2,0,3,3,2,3,1,5,5,9
Jeremy Evans,SF,27,UTA,38,0,266,32,58,2,5,30,53,24,29,26,45,71,13,11,12,5,29,90
Jeremy Lamb,SG,22,OKC,47,8,633,104,250,38,111,66,139,49,55,8,99,107,44,21,6,27,52,295
Jeremy Lin,PG,26,LAL,74,30,1907,277,654,65,176,212,478,213,268,26,170,196,339,82,32,166,189,832
Jerome Jordan,C,28,BRK,44,0,383,50,94,0,0,50,94,38,44,52,53,105,13,8,15,22,58,138
Jerrelle Benimon,PF,23,UTA,2,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0
Jerryd Bayless,PG,26,MIL,77,4,1717,220,516,37,120,183,396,121,137,22,189,211,233,59,12,133,163,598
Jimmer Fredette,PG,25,NOP,50,0,509,63,166,9,48,54,118,43,45,8,32,40,58,15,2,33,43,178
Jimmy Butler,SG,25,CHI,65,65,2513,421,912,73,193,348,719,386,463,114,265,379,212,114,36,93,108,1301
Joakim Noah,C,29,CHI,67,67,2049,190,427,0,2,190,425,105,174,219,427,646,312,48,74,123,203,485
Jodie Meeks,SG,27,DET,60,0,1462,222,534,74,212,148,322,145,160,12,92,104,79,59,6,57,76,663
Joe Harris,SG,23,CLE,51,1,493,48,120,31,84,17,36,9,15,7,34,41,26,7,2,27,62,136
Joe Ingles,SF,27,UTA,79,32,1673,147,354,72,202,75,152,30,40,22,153,175,182,72,10,98,124,396
Joe Johnson,SG,33,BRK,80,80,2791,446,1025,121,337,325,688,141,176,53,331,384,292,59,14,137,120,1154
Joel Anthony,C,32,DET,49,0,406,36,62,0,0,36,62,15,22,32,61,93,5,12,49,12,55,87
Joel Freeland,C,27,POR,48,8,617,74,151,0,0,74,151,21,25,62,129,191,16,9,23,23,93,169
