Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Price,PG,28,TOT,26,0,324,51,137,15,57,36,80,16,24,6,26,32,46,7,0,14,15,133
Aaron Brooks,PG,30,CHI,82,21,1885,344,817,121,313,223,504,145,174,32,134,166,261,54,15,157,189,954
Aaron Gordon,PF,19,ORL,47,8,797,93,208,13,48,80,160,44,61,46,123,169,33,21,22,38,83,243
Adreian Payne,PF,23,TOT,32,22,739,91,220,1,9,90,211,30,46,48,114,162,30,19,9,44,88,213
Al Horford,C,28,ATL,76,76,2318,519,965,11,36,508,929,107,141,131,413,544,244,68,98,100,121,1156
Al Jefferson,C,30,CHO,65,61,1992,486,1010,2,5,484,1005,108,165,99,449,548,113,47,84,68,139,1082
Al-Farouq Aminu,SF,24,DAL,74,3,1366,147,357,34,124,113,233,84,118,114,228,342,59,70,62,55,137,412
Alan Anderson,SG,32,BRK,74,19,1744,195,440,73,210,122,230,82,101,31,173,204,83,56,5,60,148,545
Alec Burks,SG,23,UTA,27,27,899,121,300,26,68,95,232,106,129,19,95,114,82,17,5,52,64,374
Alex Kirk,C,23,CLE,5,0,14,1,4,0,0,1,4,2,2,1,0,1,1,0,0,0,1,4
Alex Len,C,21,PHO,69,44,1518,179,353,1,3,178,350,73,104,142,312,454,32,34,105,74,213,432
Alexey Shved,SG,26,TOT,42,9,767,133,335,47,139,86,196,121,150,23,76,99,106,30,6,48,48,434
Alexis Ajinca,C,26,NOP,68,8,957,181,329,0,0,181,329,81,99,104,211,315,47,21,51,69,151,443
Allen Crabbe,SG,22,POR,51,9,683,63,153,30,85,33,68,12,16,7,66,73,39,19,15,15,74,168
Alonzo Gee,SF,27,TOT,54,2,662,87,186,13,35,74,151,54,77,37,57,94,25,35,7,33,58,241
Amar'e Stoudemire,PF,32,TOT,59,15,1245,273,490,0,4,273,486,134,186,110,219,329,45,29,38,78,161,680
Amir Johnson,PF,27,TOR,75,72,1979,298,519,19,46,279,473,79,129,159,297,456,117,44,59,110,225,694
Anderson Varejao,C,32,CLE,26,26,636,111,200,0,2,111,198,33,45,57,113,170,35,19,16,35,58,255
Andre Dawkins,SG,23,MIA,4,0,22,1,6,1,6,0,0,0,0,0,2,2,1,0,0,1,3,3
Andre Drummond,C,21,DET,82,82,2502,494,961,0,2,494,959,142,365,437,667,1104,55,73,153,120,285,1130
Andre Iguodala,SF,31,GSW,77,0,2069,231,496,74,212,157,284,68,114,44,213,257,228,89,25,88,100,604
Andre Miller,PG,38,TOT,81,0,1253,145,290,7,34,138,256,58,77,37,116,153,284,32,6,104,103,355
Andre Roberson,SG,23,OKC,67,65,1286,92,201,21,85,71,116,23,48,60,195,255,70,53,29,46,141,228
Andrea Bargnani,C,29,NYK,29,22,785,164,361,15,41,149,320,87,107,32,95,127,46,2,27,42,53,430
Andrei Kirilenko,SF,33,BRK,7,0,36,0,5,0,0,0,5,3,4,2,6,8,1,1,0,1,1,3
Andrew Bogut,C,30,GSW,67,65,1583,200,355,0,0,200,355,22,42,141,402,543,180,39,113,106,188,422
Andrew Nicholson,PF,25,ORL,40,3,492,83,190,13,41,70,149,15,25,17,65,82,22,6,12,24,51,194
Andrew Wiggins,SF,19,MIN,82,82,2969,497,1137,39,126,458,1011,354,466,134,240,374,170,86,50,177,190,1387
