Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Avery Bradley,SG,26,BOS,55,55,1835,359,775,108,277,251,498,68,93,65,269,334,122,68,11,88,141,894
Axel Toupane,SF,24,TOT,4,0,47,5,9,1,4,4,5,0,0,0,1,1,0,1,1,0,6,11
Ben Bentil,PF,21,DAL,3,0,10,0,3,0,1,0,2,0,0,0,2,2,0,0,0,1,1,0
Ben McLemore,SG,23,SAC,61,26,1176,180,419,65,170,115,249,70,93,19,110,129,51,29,6,62,108,495
Beno Udrih,PG,34,DET,39,0,560,92,197,11,32,81,165,32,34,6,51,57,131,13,0,36,29,227
Bismack Biyombo,C,24,ORL,81,27,1793,179,339,0,0,179,339,125,234,157,410,567,74,25,91,95,202,483
Blake Griffin,PF,27,LAC,61,61,2076,479,971,38,113,441,858,320,421,112,385,497,300,57,22,142,157,1316
Boban Marjanovic,C,28,DET,35,0,293,72,132,0,0,72,132,47,58,46,84,130,9,6,12,10,25,191
Bobby Brown,PG,32,HOU,25,0,123,23,60,14,35,9,25,2,2,0,6,6,14,1,0,5,5,62
Bobby Portis,PF,21,CHI,64,13,1000,183,375,32,96,151,279,39,59,75,221,296,35,16,11,37,94,437
Bojan Bogdanovic,SF,27,TOT,81,54,2083,376,845,144,392,232,453,217,243,37,240,277,111,34,7,131,146,1113
Boris Diaw,PF,34,UTA,73,33,1283,146,327,20,81,126,246,26,35,46,112,158,170,18,9,87,83,338
Bradley Beal,SG,23,WAS,77,77,2684,637,1322,223,552,414,770,282,342,53,187,240,267,83,21,156,169,1779
Brandan Wright,PF,29,MEM,28,5,447,83,135,0,1,83,134,23,35,31,47,78,15,11,20,10,42,189
Brandon Bass,PF,31,LAC,52,0,577,107,186,1,3,106,183,77,88,43,86,129,21,14,11,29,45,292
Brandon Ingram,SF,19,LAL,79,40,2279,276,686,55,187,221,499,133,214,60,256,316,166,50,36,116,158,740
Brandon Jennings,PG,27,TOT,81,13,1802,192,535,79,252,113,283,114,152,29,167,196,395,70,4,128,116,577
Brandon Knight,SG,25,PHO,54,5,1140,209,525,45,139,164,386,132,154,25,93,118,130,27,5,88,87,595
Brandon Rush,SG,31,MIN,47,33,1030,70,187,44,114,26,73,13,18,16,83,99,45,22,23,28,42,197
Brian Roberts,PG,31,CHO,41,2,416,46,122,17,44,29,78,33,39,5,34,39,52,9,1,26,18,142
Briante Weber,PG,24,TOT,20,0,205,25,60,1,10,24,50,11,16,8,18,26,21,12,1,8,16,62
Brice Johnson,PF,22,LAC,3,0,9,2,7,0,0,2,7,0,0,1,2,3,1,2,1,1,0,4
Brook Lopez,C,28,BRK,75,75,2222,555,1172,134,387,421,785,295,364,121,282,403,176,38,124,184,192,1539
Bruno Caboclo,SF,21,TOR,9,0,40,6,16,2,6,4,10,0,0,5,5,10,4,2,1,2,4,14
Bryn Forbes,SG,23,SAS,36,0,285,36,99,17,53,19,46,5,6,2,21,23,23,1,0,11,20,94
Buddy Hield,SG,23,TOT,82,55,1888,327,767,148,379,179,388,64,76,35,234,269,121,38,9,101,115,866
C.J. McCollum,SG,25,POR,80,80,2796,692,1441,185,439,507,1002,268,294,60,229,289,285,72,42,172,202,1837
C.J. Miles,SF,29,IND,76,29,1776,281,647,169,409,112,238,84,93,30,199,229,48,46,25,40,151,815
C.J. Watson,PG,32,ORL,62,9,1012,96,248,32,105,64,143,57,66,16,73,89,114,43,2,47,84,281
C.J. Wilcox,SG,26,ORL,22,0,108,8,31,3,15,5,16,2,2,4,8,12,12,2,1,6,8,21
Cameron Payne,PG,22,TOT,31,0,462,64,193,27,86,37,107,5,8,3,45,48,55,14,4,29,52,160
Caris LeVert,SF,22,BRK,57,26,1237,171,380,59,184,112,196,67,93,23,165,188,110,49,8,59,91,468
Carmelo Anthony,SF,32,NYK,74,74,2538,602,1389,151,421,451,968,304,365,62,376,438,213,60,34,153,198,1659
Chandler Parsons,SF,28,MEM,34,34,675,75,222,25,93,50,129,35,43,6,78,84,55,20,5,24,52,210
Channing Frye,C,33,CLE,74,15,1398,238,520,137,335,101,185,63,74,37,253,290,45,33,37,53,138,676
Chasson Randle,PG,23,TOT,26,0,299,40,98,16,47,24,51,41,43,6,26,32,34,9,2,19,39,137
Cheick Diallo,PF,20,NOP,17,0,199,36,76,0,0,36,76,15,21,23,50,73,4,4,7,7,17,87
Chinanu Onuaku,C,20,HOU,5,1,52,5,7,0,0,5,7,4,4,2,8,10,3,3,1,4,6,14
Chris Andersen,C,38,CLE,12,0,114,9,22,0,3,9,19,10,14,9,22,31,5,5,7,5,20,28
Chris McCullough,PF,21,TOT,16,0,80,16,32,1,7,15,25,3,5,9,10,19,2,2,2,3,7,36
Chris Paul,PG,31,LAC,61,61,1921,374,785,124,302,250,483,232,260,40,264,304,563,119,8,147,146,1104
Christian Wood,PF,21,CHO,13,0,107,12,23,0,5,12,18,11,15,14,15,29,2,3,6,7,11,35
Clint Capela,C,22,HOU,65,59,1551,362,563,0,0,362,563,94,177,178,348,526,63,34,79,87,179,818
Cody Zeller,C,24,CHO,62,58,1725,253,443,0,1,253,442,133,196,135,270,405,99,62,58,65,189,639
Cole Aldrich,C,28,MIN,62,0,531,45,86,0,0,45,86,15,22,51,107,158,25,25,23,17,85,105
Corey Brewer,SF,30,TOT,82,11,1281,147,348,27,118,120,230,50,68,32,134,166,97,61,20,55,133,371
Cory Joseph,PG,25,TOR,80,22,2003,299,661,48,135,251,526,94,122,51,184,235,265,66,13,108,140,740
Courtney Lee,SG,31,NYK,77,74,2459,321,704,108,269,213,435,85,98,53,206,259,179,81,24,69,141,835
Cristiano Felicio,C,24,CHI,66,0,1040,128,221,0,0,128,221,60,93,124,187,311,40,25,17,33,110,316
D.J. Augustin,PG,29,ORL,78,20,1538,195,517,95,274,100,243,131,161,15,102,117,209,31,1,90,101,616
D'Angelo Russell,PG,20,LAL,63,60,1811,351,867,135,384,216,483,147,188,31,190,221,303,87,16,176,130,984
Dahntay Jones,SF,36,CLE,1,0,12,3,8,0,2,3,6,3,4,1,1,2,1,0,0,1,1,9
Damian Jones,C,21,GSW,10,0,85,8,16,0,0,8,16,3,10,9,14,23,0,1,4,6,15,19
Damian Lillard,PG,26,POR,75,75,2694,661,1488,214,579,447,909,488,545,46,322,368,440,68,20,197,152,2024
Damjan Rudez,SF,30,ORL,45,0,314,31,88,20,64,11,24,0,0,5,20,25,20,12,1,9,31,82
Daniel Ochefu,C,23,WAS,19,0,75,12,27,0,0,12,27,0,2,5,17,22,3,2,0,3,17,24
Danilo Gallinari,SF,28,DEN,63,63,2134,335,750,126,324,209,426,349,387,39,286,325,135,40,15,82,93,1145
Danny Green,SG,29,SAS,68,68,1807,176,449,118,311,58,138,27,32,31,193,224,124,70,57,76,120,497
Dante Cunningham,PF,29,NOP,66,35,1649,174,359,71,181,103,178,16,27,56,221,277,37,39,28,28,100,435
Dante Exum,PG,21,UTA,66,26,1228,155,363,44,149,111,214,58,73,30,102,132,111,21,12,80,146,412
Danuel House,SG,23,WAS,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Dario Saric,PF,22,PHI,81,36,2129,381,927,106,341,275,586,172,220,112,401,513,182,57,30,183,162,1040
Darrell Arthur,PF,28,DEN,41,7,639,95,215,53,117,42,98,19,22,25,87,112,42,19,21,36,76,262
Darren Collison,PG,29,SAC,68,64,2063,340,714,73,175,267,539,147,171,23,129,152,312,67,9,114,119,900
Darrun Hilliard,SG,23,DET,39,1,381,47,126,12,46,35,80,21,28,2,31,33,33,11,2,28,39,127
David Lee,PF,33,SAS,79,10,1477,248,420,0,0,248,420,80,113,149,292,441,124,31,40,82,125,576
David Nwaba,SG,24,LAL,20,2,397,47,81,1,5,46,76,25,39,17,46,63,14,13,7,11,36,120
David West,C,36,GSW,68,0,854,135,252,3,8,132,244,43,56,47,156,203,151,42,48,78,105,316
Davis Bertans,PF,24,SAS,67,6,808,103,234,69,173,34,61,28,34,22,76,98,46,20,28,32,75,303
DeAndre Jordan,C,28,LAC,81,81,2570,412,577,0,2,412,575,205,425,298,816,1114,96,51,134,115,212,1029
DeAndre Liggins,SG,28,TOT,62,19,777,55,142,17,46,38,96,25,40,20,88,108,54,47,14,42,81,152
DeAndre' Bembry,SF,22,ATL,38,1,371,47,98,1,18,46,80,6,16,14,45,59,28,8,5,16,21,101
Dejounte Murray,PG,20,SAS,38,8,322,50,116,9,23,41,93,21,30,6,36,42,48,8,6,38,29,130
Delon Wright,PG,24,TOR,27,0,446,49,116,10,30,39,86,42,55,16,32,48,57,27,11,25,31,150
DeMar DeRozan,SG,27,TOR,74,74,2620,721,1545,33,124,688,1421,545,647,70,316,386,290,78,13,180,134,2020
DeMarcus Cousins,C,26,TOT,72,72,2465,647,1432,131,363,516,1069,517,670,152,642,794,332,100,93,269,278,1942
DeMarre Carroll,SF,30,TOR,72,72,1882,220,550,109,320,111,230,89,117,63,212,275,74,81,27,54,143,638
Demetrius Jackson,PG,22,BOS,5,0,17,3,4,1,1,2,3,3,6,2,2,4,3,0,0,0,0,10
Dennis Schroder,PG,23,ATL,79,78,2485,548,1214,100,294,448,920,218,255,42,206,248,499,74,16,258,149,1414
Denzel Valentine,SG,23,CHI,57,0,976,102,288,73,208,29,80,14,18,11,140,151,63,30,7,49,86,291
Deron Williams,PG,32,TOT,64,44,1657,263,600,85,234,178,366,90,109,14,133,147,360,31,8,138,138,701
Derrick Favors,PF,25,UTA,50,39,1186,203,417,3,10,200,407,67,109,92,213,305,56,45,40,60,103,476
Derrick Jones,SF,19,PHO,32,8,545,68,121,3,11,65,110,29,41,39,40,79,12,14,13,13,63,168
Derrick Rose,PG,28,NYK,64,64,2082,460,977,13,60,447,917,221,253,66,180,246,283,44,17,147,84,1154
Derrick Williams,PF,25,TOT,50,11,804,108,244,30,97,78,147,58,89,19,111,130,28,14,7,28,60,304
Devin Booker,SG,20,PHO,78,78,2730,606,1431,147,405,459,1026,367,441,46,203,249,268,72,21,241,242,1726
Devin Harris,PG,33,DAL,65,0,1087,136,341,58,177,78,164,107,129,11,116,127,136,43,7,57,101,437
Dewayne Dedmon,C,27,SAS,76,37,1330,161,259,0,0,161,259,65,93,129,367,496,44,37,61,61,180,387
Deyonta Davis,C,20,MEM,36,0,238,24,47,0,0,24,47,10,18,20,40,60,2,3,17,8,40,58
Diamond Stone,C,19,LAC,7,0,24,3,13,0,0,3,13,4,4,1,5,6,0,0,1,2,5,10
Dion Waiters,SG,25,MIA,46,43,1384,281,663,85,215,196,448,82,127,18,135,153,200,42,20,103,95,729
Dirk Nowitzki,PF,38,DAL,54,54,1424,296,678,79,209,217,469,98,112,23,330,353,82,30,38,51,113,769
Domantas Sabonis,PF,20,OKC,81,66,1632,192,481,51,159,141,322,44,67,46,242,288,82,39,32,83,200,479
Donatas Motiejunas,PF,26,NOP,34,0,479,57,138,11,47,46,91,25,49,26,75,101,32,18,11,31,55,150
Dorian Finney-Smith,PF,23,DAL,81,35,1642,124,333,56,191,68,142,46,61,55,167,222,67,52,25,45,125,350
Doug McDermott,SF,25,TOT,66,5,1508,222,497,77,208,145,289,71,84,20,159,179,58,13,5,38,79,592
Dragan Bender,PF,19,PHO,43,0,574,57,161,28,101,29,60,4,11,23,80,103,23,10,22,32,74,146
Draymond Green,PF,26,GSW,76,76,2471,272,650,81,263,191,387,151,213,98,501,599,533,154,106,184,217,776
Dwight Howard,C,31,ATL,74,74,2199,388,613,0,2,388,611,226,424,296,644,940,104,64,92,170,203,1002
Dwight Powell,C,25,DAL,77,3,1333,194,377,21,74,173,303,107,141,93,213,306,49,61,39,34,135,516
Dwyane Wade,SG,35,CHI,60,59,1792,414,955,45,145,369,810,223,281,63,207,270,228,86,41,138,112,1096
E'Twaun Moore,SG,27,NOP,73,22,1820,283,619,77,208,206,411,57,74,33,119,152,164,50,32,62,131,700
Ed Davis,PF,27,POR,46,12,789,75,142,0,0,75,142,50,81,96,148,244,26,15,22,37,137,200
Edy Tavares,C,24,TOT,2,0,28,4,5,0,0,4,5,0,3,4,7,11,1,0,6,2,3,8
Elfrid Payton,PG,22,ORL,82,58,2412,430,912,40,146,390,766,146,211,89,298,387,529,88,40,178,177,1046
Elijah Millsap,SG,29,PHO,2,0,23,1,7,0,2,1,5,1,2,3,3,6,1,0,0,2,2,3
Emmanuel Mudiay,PG,20,DEN,55,41,1406,208,551,56,178,152,373,131,167,29,149,178,217,41,13,123,95,603
Enes Kanter,C,24,OKC,72,0,1533,402,737,5,38,397,699,224,285,195,287,482,67,32,38,123,154,1033
Eric Bledsoe,PG,27,PHO,66,66,2176,449,1034,104,310,345,724,388,458,52,268,320,418,91,31,224,164,1390
Eric Gordon,SG,28,HOU,75,15,2323,412,1016,246,661,166,355,147,175,29,172,201,188,48,41,121,150,1217
Ersan Ilyasova,PF,29,TOT,82,52,2142,384,890,142,402,242,488,161,207,115,366,481,141,58,23,116,211,1071
Evan Fournier,SG,24,ORL,68,66,2234,408,930,128,360,280,570,223,277,44,165,209,202,66,4,141,180,1167
Evan Turner,SF,28,POR,65,12,1658,235,552,31,118,204,434,85,103,36,211,247,205,53,24,100,121,586
Frank Kaminsky,C,23,CHO,75,16,1954,320,802,116,354,204,448,118,156,57,279,336,162,46,34,76,139,874
Fred VanVleet,PG,22,TOR,37,0,294,39,111,11,29,28,82,18,22,4,38,42,35,16,3,15,36,107
Garrett Temple,SG,30,SAC,65,21,1728,183,432,82,220,101,212,58,74,32,152,184,168,84,28,78,141,506
Gary Harris,SG,22,DEN,57,56,1782,320,637,107,255,213,382,104,134,48,130,178,164,71,8,76,92,851
Gary Neal,SG,32,ATL,2,0,18,0,7,0,2,0,5,4,4,0,1,1,1,0,0,0,1,4
Gary Payton,PG,24,MIL,6,0,99,8,22,1,9,7,13,3,5,0,12,12,13,3,4,10,9,20
George Hill,PG,30,UTA,49,49,1544,289,606,94,233,195,373,157,196,23,144,167,204,50,11,85,114,829
Georges Niang,PF,23,IND,23,0,93,9,36,1,12,8,24,2,2,2,15,17,5,3,0,5,6,21
Georgios Papagiannis,C,19,SAC,22,0,355,56,102,0,2,56,100,12,14,24,62,86,20,3,17,24,44,124
Gerald Green,SF,31,BOS,47,0,538,95,232,39,111,56,121,33,41,16,68,84,33,9,7,25,48,262
Gerald Henderson,SG,29,PHI,72,41,1667,234,553,61,173,173,380,133,165,34,151,185,112,40,15,62,129,662
Giannis Antetokounmpo,SF,22,MIL,80,80,2845,656,1259,49,180,607,1079,471,612,142,558,700,434,131,151,234,246,1832
Glenn Robinson,SF,23,IND,69,27,1427,158,338,49,125,109,213,54,76,57,189,246,47,41,20,37,63,419
Goran Dragic,PG,30,MIA,73,73,2459,534,1124,117,289,417,835,298,377,62,217,279,423,89,13,212,199,1483
Gordon Hayward,SF,26,UTA,73,73,2516,545,1156,149,374,396,782,362,429,49,345,394,252,73,20,140,117,1601
Gorgui Dieng,PF,27,MIN,82,82,2653,332,661,16,43,316,618,136,167,188,459,647,158,88,95,107,254,816
Greg Monroe,C,26,MIL,81,0,1823,387,726,0,4,387,722,177,239,167,365,532,187,92,38,140,168,951
Greivis Vasquez,PG,30,BRK,3,0,39,2,8,1,3,1,5,2,3,0,2,2,5,1,1,1,6,7
Harrison Barnes,PF,24,DAL,79,79,2803,599,1280,78,222,521,1058,242,281,93,301,394,116,65,15,102,128,1518
Hassan Whiteside,C,27,MIA,77,77,2513,542,973,0,0,542,973,225,358,293,795,1088,57,57,161,154,226,1309
Henry Ellenson,PF,20,DET,19,2,146,23,64,10,35,13,29,4,8,8,33,41,7,1,1,14,6,60
Hollis Thompson,SG,25,TOT,40,9,752,77,200,32,95,45,105,19,29,19,93,112,35,20,6,11,69,205
Ian Clark,SG,25,GSW,77,0,1137,211,433,61,163,150,270,44,58,22,99,121,90,39,8,55,77,527
Ian Mahinmi,C,30,WAS,31,0,555,65,111,0,0,65,111,43,75,47,103,150,19,33,24,34,90,173
Iman Shumpert,SG,26,CLE,76,31,1937,201,489,94,261,107,228,71,90,39,179,218,109,62,27,78,150,567
Isaiah Canaan,SG,25,CHI,39,0,592,63,173,25,94,38,79,30,33,6,44,50,37,22,1,21,35,181
Isaiah Taylor,PG,22,HOU,4,0,52,1,7,0,2,1,5,1,2,1,2,3,3,1,1,0,6,3
Isaiah Thomas,PG,27,BOS,76,76,2569,682,1473,245,646,437,827,590,649,43,162,205,448,70,13,210,167,2199
Isaiah Whitehead,PG,21,BRK,73,26,1643,204,508,44,149,160,359,91,113,32,152,184,192,42,36,142,175,543
Ish Smith,PG,28,DET,81,32,1955,329,749,28,105,301,644,72,102,21,214,235,418,61,33,112,127,758
Ivica Zubac,C,19,LAL,38,11,609,126,238,0,3,126,235,32,49,41,118,159,30,14,33,30,66,284
J.J. Barea,PG,32,DAL,35,6,771,142,343,53,148,89,195,44,51,9,75,84,193,14,1,63,30,381
J.J. Redick,SG,32,LAC,78,78,2198,396,890,201,468,195,422,180,202,11,160,171,110,54,13,98,125,1173
J.R. Smith,SG,31,CLE,41,35,1187,123,356,95,271,28,85,10,15,17,96,113,62,40,11,26,77,351
Jabari Parker,PF,21,MIL,51,50,1728,399,814,65,178,334,636,162,218,79,235,314,142,50,22,93,111,1025
Jae Crowder,SF,26,BOS,72,72,2335,333,720,157,394,176,326,176,217,48,367,415,155,73,23,80,161,999
Jahlil Okafor,C,21,PHI,50,33,1134,242,471,0,0,242,471,106,158,81,159,240,58,20,49,91,122,590
Jake Layman,SF,22,POR,35,1,249,26,89,13,51,13,38,13,17,6,18,24,11,9,3,11,22,78
Jakob Poeltl,C,21,TOR,54,4,626,67,115,0,0,67,115,31,57,78,87,165,12,17,20,29,113,165
Jamal Crawford,SG,36,LAC,82,1,2157,359,870,116,322,243,548,174,203,17,112,129,214,61,14,134,115,1008
Jamal Murray,SG,19,DEN,82,10,1764,295,730,115,344,180,386,106,120,41,173,214,170,51,24,113,124,811
Jameer Nelson,PG,34,DEN,75,39,2045,268,604,106,273,162,331,45,63,28,164,192,385,54,8,128,197,687
James Ennis,SF,26,MEM,64,28,1501,146,321,51,137,95,184,86,110,69,190,259,64,46,19,59,165,429
James Harden,PG,27,HOU,81,81,2947,674,1533,262,756,412,777,746,881,95,564,659,907,121,38,464,215,2356
James Johnson,PF,29,MIA,76,5,2085,368,769,87,256,281,513,152,215,66,310,376,276,76,86,171,197,975
James Jones,SF,36,CLE,48,2,381,44,92,31,66,13,26,13,20,3,34,37,14,6,10,10,37,132
James Michael McAdoo,PF,24,GSW,52,2,457,62,117,2,8,60,109,21,42,34,57,91,18,18,29,19,47,147
James Young,SG,21,BOS,29,0,220,25,58,12,35,13,23,6,9,6,20,26,4,10,2,4,15,68
JaMychal Green,PF,26,MEM,77,75,2101,250,500,55,145,195,355,134,167,167,377,544,84,47,34,94,248,689
Jared Dudley,PF,31,PHO,64,7,1362,157,346,77,203,80,143,43,65,31,194,225,121,42,16,73,154,434
Jared Sullinger,PF,24,TOR,11,1,118,15,47,3,18,12,29,4,8,10,17,27,3,4,1,4,17,37
Jarell Eddie,SF,25,PHO,5,0,62,6,19,4,16,2,3,8,9,1,6,7,0,1,0,1,1,24
Jarell Martin,PF,22,MEM,42,3,558,58,151,9,25,49,126,40,50,42,120,162,8,17,9,28,91,165
Jarnell Stokes,C,23,DEN,2,0,7,1,1,0,0,1,1,1,2,1,1,2,2,1,0,0,3,3
Jarrett Jack,PG,33,NOP,2,0,33,2,3,0,1,2,2,2,2,0,0,0,5,2,0,3,4,6
Jarrod Uthoff,PF,23,DAL,9,0,115,16,38,3,9,13,29,5,7,8,14,22,9,2,4,3,8,40
Jason Smith,C,30,WAS,74,3,1068,174,329,37,78,137,251,35,51,64,194,258,37,21,54,58,168,420
Jason Terry,SG,39,MIL,74,0,1365,105,243,73,171,32,72,24,29,15,91,106,98,46,20,36,95,307
JaVale McGee,C,29,GSW,77,10,739,208,319,0,3,208,316,56,111,100,144,244,17,19,67,40,109,472
Jaylen Brown,SF,20,BOS,78,20,1341,192,423,46,135,146,288,85,124,45,175,220,64,35,18,68,142,515
Jeff Green,PF,30,ORL,69,11,1534,220,558,53,193,167,365,145,168,39,175,214,81,37,13,75,103,638
Jeff Teague,PG,28,IND,82,82,2657,402,909,90,252,312,657,360,415,33,297,330,639,100,32,216,165,1254
Jeff Withey,C,26,UTA,51,1,432,55,103,0,1,55,102,36,48,52,69,121,7,16,32,14,52,146
Jerami Grant,PF,22,TOT,80,4,1531,152,328,43,116,109,212,90,147,38,167,205,46,33,79,44,149,437
Jeremy Lamb,SG,24,CHO,62,5,1143,226,491,41,146,185,345,110,129,30,234,264,75,27,23,40,98,603
Jeremy Lin,PG,28,BRK,36,33,883,175,400,58,156,117,244,115,141,11,124,135,184,42,14,86,79,523
Jerian Grant,PG,24,CHI,63,28,1028,128,301,49,134,79,167,65,73,17,94,111,121,47,8,44,93,370
Jerryd Bayless,PG,28,PHI,3,1,71,11,32,2,5,9,27,9,10,3,9,12,13,0,0,9,4,33
Jimmy Butler,SF,27,CHI,76,75,2809,570,1252,91,248,479,1004,585,676,129,341,470,417,143,32,159,112,1816
Joakim Noah,C,31,NYK,46,46,1015,99,202,0,1,99,201,34,78,162,241,403,103,30,37,58,127,232
Jodie Meeks,SG,29,ORL,36,10,738,103,256,56,137,47,119,65,74,5,72,77,45,34,4,36,41,327
Joe Harris,SG,25,BRK,52,11,1138,154,362,85,221,69,141,35,49,16,131,147,54,30,8,55,121,428
Joe Ingles,SF,29,UTA,82,26,1972,204,451,123,279,81,172,50,68,23,238,261,225,96,8,107,163,581
Joe Johnson,SF,35,UTA,78,14,1843,273,626,106,258,167,368,63,77,33,210,243,144,36,18,69,93,715
Joe Young,PG,24,IND,33,0,135,26,72,5,23,21,49,11,15,1,16,17,15,4,0,5,5,68
Joel Anthony,C,34,SAS,19,0,122,10,16,0,0,10,16,5,8,8,23,31,3,2,6,4,11,25
Joel Bolomboy,PF,23,UTA,12,0,53,9,16,1,4,8,12,3,6,4,13,17,2,1,2,2,1,22
Joel Embiid,C,22,PHI,31,31,786,200,429,36,98,164,331,191,244,61,182,243,66,27,76,117,112,627
Joffrey Lauvergne,PF-C,25,TOT,70,1,980,148,336,33,98,115,238,46,73,72,179,251,70,25,6,56,83,375
John Henson,C,26,MIL,58,39,1123,159,309,0,1,159,308,74,107,92,203,295,57,29,78,52,151,392
John Jenkins,SG,25,PHO,4,0,13,2,5,1,2,1,3,2,2,0,1,1,1,0,0,0,0,7
John Lucas III,PG,34,MIN,5,0,11,1,4,0,1,1,3,0,0,0,0,0,1,2,0,0,0,2
John Wall,PG,26,WAS,78,78,2836,647,1435,89,272,558,1163,422,527,59,267,326,831,157,49,322,151,1805
Johnny O'Bryant,PF,23,TOT,11,0,80,15,30,3,6,12,24,5,6,9,10,19,6,0,1,6,10,38
Jon Leuer,PF,27,DET,75,34,1944,310,646,49,167,261,479,98,113,102,300,402,111,31,26,66,145,767
Jonas Jerebko,PF,29,BOS,78,6,1232,114,262,45,130,69,132,26,37,59,213,272,71,25,17,39,122,299
Jonas Valanciunas,C,24,TOR,80,80,2066,391,702,1,2,390,700,176,217,226,533,759,57,37,63,106,216,959
Jonathan Gibson,PG,29,DAL,17,0,231,35,95,15,45,20,50,21,29,1,21,22,26,8,0,21,21,106
Jonathon Simmons,SG,27,SAS,78,8,1392,177,421,30,102,147,319,99,132,20,140,160,126,47,25,76,146,483
