Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Hammons,C,24,DAL,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
Aaron Brooks,PG,32,IND,65,0,894,121,300,48,128,73,172,32,40,18,51,69,125,25,9,66,93,322
Aaron Gordon,SF,21,ORL,80,72,2298,393,865,77,267,316,598,156,217,116,289,405,150,65,40,89,172,1019
Aaron Harrison,SG,22,CHO,5,0,17,0,4,0,2,0,2,1,2,0,3,3,3,0,0,0,2,1
Adreian Payne,PF,25,MIN,18,0,135,23,54,3,15,20,39,14,19,9,24,33,7,8,7,8,32,63
Al Horford,C,30,BOS,68,68,2193,379,801,86,242,293,559,108,135,95,370,465,337,52,86,115,138,952
Al Jefferson,C,32,IND,66,1,931,235,471,0,1,235,470,65,85,75,203,278,57,19,16,33,125,535
Al-Farouq Aminu,PF,26,POR,61,25,1773,183,466,70,212,113,254,96,136,77,374,451,99,60,44,94,102,532
Alan Anderson,SF,34,LAC,30,0,308,30,80,14,44,16,36,12,16,3,21,24,11,3,0,7,35,86
Alan Williams,C,24,PHO,47,0,708,138,267,0,1,138,266,70,112,94,198,292,23,27,32,37,125,346
Alec Burks,SG,25,UTA,42,0,653,99,248,25,76,74,172,60,78,17,103,120,30,18,5,35,50,283
Alex Abrines,SG,23,OKC,68,6,1055,134,341,94,247,40,94,44,49,18,68,86,40,37,8,33,114,406
Alex Len,C,23,PHO,77,34,1560,230,463,3,12,227,451,150,208,156,354,510,44,38,98,102,242,613
Alex Poythress,PF,23,PHI,6,1,157,25,54,6,19,19,35,8,10,11,18,29,5,3,2,3,14,64
Alexis Ajinca,C,28,NOP,39,15,584,89,178,0,4,89,174,29,40,46,131,177,12,20,22,31,77,207
Allen Crabbe,SG,24,POR,79,7,2254,303,647,134,302,169,345,105,124,19,207,226,94,54,20,62,171,845
Alonzo Gee,SF,29,DEN,13,0,89,3,14,0,3,3,11,5,9,4,11,15,6,5,1,4,14,11
Amir Johnson,PF,29,BOS,80,77,1608,213,370,27,66,186,304,67,100,118,248,366,140,51,62,77,211,520
Anderson Varejao,C,34,GSW,14,1,92,5,14,0,0,5,14,8,11,12,15,27,10,3,3,8,16,18
Andre Drummond,C,23,DET,81,81,2409,483,911,2,7,481,904,137,355,345,770,1115,90,124,89,152,237,1105
Andre Iguodala,SF,33,GSW,76,0,1998,219,415,64,177,155,238,72,102,51,253,304,261,76,39,58,97,574
Andre Roberson,SF,25,OKC,79,79,2376,215,463,45,184,170,279,47,111,98,305,403,79,94,79,51,204,522
Andrew Bogut,C,32,TOT,27,21,583,38,81,0,1,38,80,3,11,56,162,218,49,13,25,43,86,79
Andrew Harrison,PG,22,MEM,72,18,1474,117,360,43,156,74,204,148,194,23,113,136,198,53,21,85,194,425
Andrew Nicholson,PF,27,TOT,38,0,342,43,111,5,27,38,84,9,14,15,46,61,10,16,6,17,55,100
Andrew Wiggins,SF,21,MIN,82,82,3048,709,1570,103,289,606,1281,412,542,102,226,328,189,82,30,187,183,1933
Anthony Bennett,PF,23,BRK,23,1,264,38,92,13,48,25,44,26,36,25,53,78,12,5,3,12,18,115
Anthony Brown,SF,24,TOT,11,0,159,18,50,7,27,11,23,0,0,8,25,33,8,5,1,6,15,43
Anthony Davis,C,23,NOP,75,75,2708,770,1526,40,134,730,1392,519,647,172,712,884,157,94,167,181,168,2099
Anthony Morrow,SG,31,TOT,49,7,714,98,252,41,133,57,119,34,37,12,19,31,25,24,2,6,44,271
Anthony Tolliver,PF,31,SAC,65,9,1477,155,351,90,230,65,121,61,82,51,186,237,77,34,20,56,109,461
Archie Goodwin,SG,22,TOT,15,0,214,36,66,5,15,31,51,33,42,7,21,28,24,4,5,14,8,110
Arinze Onuaku,C,29,ORL,8,0,28,2,4,0,0,2,4,0,0,2,4,6,2,0,1,2,3,4
Aron Baynes,C,30,DET,75,2,1163,143,279,0,0,143,279,79,94,111,222,333,32,17,39,50,166,365
Arron Afflalo,SG,31,SAC,61,45,1580,185,420,62,151,123,269,83,93,9,116,125,78,21,6,42,104,515
Austin Rivers,SG,24,LAC,74,29,2054,323,731,111,299,212,432,132,191,20,141,161,204,48,10,115,187,889
