Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Jae Crowder,SF,25,BOS,73,73,2308,360,813,122,363,238,450,196,239,70,303,373,135,126,35,83,198,1038,,
Jahlil Okafor,C,20,PHI,53,48,1591,397,781,1,6,396,775,133,194,122,251,373,65,22,61,124,140,928,,
JaKarr Sampson,SF,22,TOT,73,40,1160,140,317,14,63,126,254,80,122,46,144,190,46,23,33,70,142,374,,
Jamal Crawford,SG,35,LAC,79,5,2126,379,939,117,344,262,595,245,271,20,125,145,183,52,12,113,122,1120,,
Jameer Nelson,PG,33,DEN,39,15,1036,113,307,43,144,70,163,30,35,19,96,115,190,25,5,66,100,299,,
James Anderson,SG,26,SAC,51,15,721,67,178,23,86,44,92,22,29,13,73,86,41,21,14,42,54,179,,
James Ennis,SF,25,TOT,22,5,329,54,113,26,58,28,55,25,34,21,21,42,21,16,5,19,28,159,,
James Harden,SG,26,HOU,82,82,3125,710,1617,236,657,474,960,720,837,63,438,501,612,139,51,374,229,2376,,
James Johnson,PF,28,TOR,57,32,926,114,240,20,66,94,174,39,68,28,98,126,67,29,33,54,84,287,,
James Jones,SF,35,CLE,48,0,463,58,142,41,104,17,38,21,26,8,42,50,14,11,10,13,50,178,,
James Michael McAdoo,PF,23,GSW,41,1,262,45,84,1,2,44,82,26,49,30,28,58,17,10,8,16,39,117,,
James Young,SG,20,BOS,29,0,199,11,36,6,26,5,10,1,4,4,22,26,9,6,1,5,17,29,,
JaMychal Green,PF,25,MEM,78,15,1446,230,495,15,45,215,450,103,137,139,234,373,67,46,33,83,189,578,,
Jared Cunningham,SG,24,TOT,44,3,410,36,105,12,39,24,66,36,55,3,35,38,20,14,2,21,41,120,,
Jared Dudley,PF,30,WAS,81,41,2098,233,487,100,238,133,249,72,98,54,232,286,170,75,18,80,190,638,,
Jared Sullinger,PF,23,BOS,81,73,1915,351,806,29,103,322,703,103,161,194,479,673,187,75,47,102,209,834,,
Jarell Eddie,SF,24,WAS,26,0,147,20,65,15,47,5,18,8,8,2,21,23,5,5,1,1,5,63,,
Jarell Martin,PF,21,MEM,27,0,380,54,116,0,2,54,114,45,62,39,47,86,15,8,7,19,58,153,,
Jarnell Stokes,C,22,TOT,7,0,18,3,5,0,0,3,5,1,2,1,3,4,1,1,0,0,1,7,,
Jarrett Jack,PG,32,BRK,32,32,1027,140,358,31,102,109,256,100,112,9,127,136,236,34,7,94,77,411,,
Jason Smith,C,29,ORL,76,2,1181,244,503,4,16,240,487,54,67,53,166,219,62,33,65,57,163,546,,
Jason Terry,SG,38,HOU,72,7,1258,151,376,93,261,58,115,27,33,14,65,79,103,47,9,49,91,422,,
Jason Thompson,C,29,TOT,47,7,471,52,108,5,15,47,93,38,54,32,102,134,29,12,20,15,80,147,,
JaVale McGee,C,28,DAL,34,2,370,77,134,0,1,77,133,18,36,53,80,133,3,5,26,21,49,172,,
Jeff Ayres,C,28,LAC,17,0,107,12,23,0,1,12,22,6,6,4,18,22,5,0,3,6,18,30,,
Jeff Green,SF,29,TOT,80,41,2253,354,824,67,213,287,611,164,220,74,258,332,138,58,40,93,164,939,,
Jeff Teague,PG,27,ATL,79,78,2255,434,988,110,275,324,713,261,312,33,181,214,470,97,24,218,167,1239,,
Jeff Withey,C,25,UTA,51,10,658,87,162,0,2,87,160,43,59,56,117,173,20,21,53,28,75,217,,
Jerami Grant,PF,21,PHI,77,52,2066,251,599,35,146,216,453,212,322,99,262,361,135,54,127,110,215,749,,
Jeremy Evans,SF,28,DAL,30,2,251,26,48,4,16,22,32,15,21,11,43,54,2,6,9,7,19,71,,
Jeremy Lamb,SG,23,CHO,66,0,1227,230,510,56,181,174,329,64,88,44,208,252,77,42,30,50,105,580,,
Jeremy Lin,SG,27,CHO,78,13,2048,300,728,76,226,224,502,238,292,42,211,253,235,58,42,150,165,914,,
Jerian Grant,PG,23,NYK,76,6,1265,154,391,22,100,132,291,96,123,23,120,143,177,50,10,87,97,426,,
Jerryd Bayless,SG,27,MIL,52,18,1505,185,437,101,231,84,206,70,90,21,120,141,163,47,11,73,111,541,,
Jimmer Fredette,SG,26,TOT,6,0,18,2,5,1,2,1,3,4,5,0,0,0,1,1,0,2,2,9,,
Jimmy Butler,SG,26,CHI,67,67,2474,470,1035,64,205,406,830,395,475,79,279,358,321,110,43,132,124,1399,,
Joakim Noah,C,30,CHI,29,2,635,51,133,0,1,51,132,22,45,87,168,255,110,18,29,52,77,124,,
Jodie Meeks,SG,28,DET,3,0,43,7,20,4,9,3,11,4,4,1,4,5,3,0,0,1,2,22,,
Joe Harris,SG,24,CLE,5,0,15,1,4,1,4,0,0,0.375,0,,0,3,3,2,0,0,1,1,3,
Joe Ingles,SF,28,UTA,81,2,1241,124,291,81,210,43,81,0.565,13,0.722,19,132,151,96,55,4,65,98,342,
Joe Johnson,SF,34,TOT,81,81,2703,377,859,120,313,257,546,0.509,118,0.831,49,243,292,318,61,4,159,146,992,
Joe Young,PG,23,IND,41,0,384,62,169,10,46,52,123,0.396,20,0.8,6,44,50,65,15,0,33,30,154,
Joel Anthony,C,33,DET,19,0,96,6,10,0,0,6,10,0.6,6,0.75,8,13,21,1,2,12,2,15,18,
Joffrey Lauvergne,C,24,DEN,59,15,1041,195,380,13,53,182,327,0.53,62,0.899,77,213,290,56,13,15,54,115,465,
John Henson,C,25,MIL,57,1,960,164,291,0,1,164,290,0.564,69,0.59,87,134,221,54,18,109,64,131,397,
John Jenkins,SG,24,TOT,43,3,480,71,160,16,51,55,109,0.494,20,0.833,8,49,57,35,8,1,27,22,178,
John Wall,PG,25,WAS,77,77,2784,572,1349,115,328,457,1021,0.467,272,0.791,42,337,379,789,145,59,318,159,1531,
Johnny O'Bryant,PF,22,MIL,66,4,857,86,209,1,1,85,208,0.414,27,0.675,65,111,176,32,18,8,31,100,200,
Jon Leuer,PF,26,PHO,67,27,1255,224,466,42,110,182,356,0.526,77,0.762,76,297,373,72,38,30,75,125,567,
Jonas Jerebko,PF,28,BOS,78,0,1176,118,286,43,108,75,178,0.488,61,0.782,77,211,288,62,20,24,52,137,340,
Jonas Valanciunas,C,23,TOR,60,59,1557,303,536,0,0,303,536,0.565,162,0.761,184,363,547,42,25,80,85,158,768,
Jonathon Simmons,SG,26,SAS,55,2,813,122,242,18,47,104,195,0.541,69,0.75,16,80,96,58,24,5,53,103,331,
Jordan Adams,SG,21,MEM,2,0,15,2,6,0,1,2,5,0.333,3,0.6,0,2,2,3,3,0,2,2,7,
Jordan Clarkson,SG,23,LAL,79,79,2552,475,1098,111,320,364,778,0.483,164,0.804,93,220,313,192,88,7,135,168,1225,
Jordan Farmar,PG,29,MEM,12,10,291,42,100,16,45,26,55,0.5,10,1,4,21,25,37,15,2,18,22,110,
Jordan Hamilton,SF,25,NOP,11,4,304,49,116,13,45,36,71,0.478,14,0.667,12,50,62,25,8,3,17,24,125,
Jordan Hill,C,28,IND,73,11,1513,278,549,0,1,278,548,0.506,89,0.712,156,295,451,87,36,37,92,155,645,
Jordan McRae,PG,24,TOT,22,1,195,34,78,10,22,24,56,0.5,21,0.75,4,16,20,25,3,1,15,17,99,
Jordan Mickey,PF,21,BOS,16,0,57,8,22,0,0,8,22,0.364,5,0.5,6,7,13,1,0,11,1,5,21,
Jorge Gutierrez,PG,27,CHO,12,0,63,6,11,0,2,6,9,0.545,10,0.909,0,7,7,17,3,0,6,3,22,
Jose Calderon,PG,34,NYK,72,72,2024,209,455,84,203,125,252,0.552,42,0.875,22,207,229,298,63,7,87,135,544,
Josh Huestis,PF,24,OKC,5,0,55,5,12,4,6,1,6,0.583,0,0,2,8,10,0,1,2,3,3,14,
Josh McRoberts,PF,28,MIA,42,1,595,55,148,12,49,43,99,0.412,28,0.7,22,83,105,81,18,7,30,68,150,
Josh Richardson,SG,22,MIA,52,2,1107,123,272,53,115,70,157,0.55,42,0.667,21,86,107,73,36,25,35,107,341,
Josh Smith,PF,30,TOT,55,7,880,127,349,41,143,86,206,0.423,37,0.552,51,141,192,90,34,47,77,118,332,
Jrue Holiday,PG,25,NOP,65,23,1831,410,935,87,259,323,676,0.485,182,0.843,27,168,195,391,88,22,167,148,1089,
Julius Randle,PF,21,LAL,81,60,2286,358,835,10,36,348,799,0.435,193,0.715,172,657,829,144,53,29,149,242,919,
Justin Anderson,SF,22,DAL,55,9,647,71,175,22,83,49,92,0.469,44,0.8,18,114,132,29,19,25,24,45,208,
Justin Harper,PF,26,DET,5,0,35,4,10,4,9,0,1,0.6,1,0.5,0,1,1,0,1,0,2,3,13,
Justin Holiday,SG,26,TOT,53,5,773,88,228,36,105,52,123,0.465,27,0.73,12,78,90,56,32,19,39,61,239,
Justise Winslow,SF,19,MIA,78,8,2232,195,462,32,116,163,346,0.457,80,0.684,81,322,403,117,68,26,95,184,502,
Jusuf Nurkic,C,21,DEN,32,3,547,101,242,0,3,101,239,0.417,61,0.616,65,110,175,40,24,44,55,91,263,
K.J. McDaniels,SF,22,HOU,37,1,235,29,72,7,25,22,47,0.451,24,0.8,16,26,42,10,7,6,17,30,89,
Karl-Anthony Towns,C,20,MIN,82,82,2627,625,1153,30,88,595,1065,0.555,223,0.811,229,629,858,161,58,138,183,245,1503,
Kawhi Leonard,SF,24,SAS,72,72,2380,551,1090,129,291,422,799,0.565,292,0.874,95,398,493,186,128,71,105,133,1523,
Keith Appling,PG,23,ORL,5,0,27,2,8,0,3,2,5,0.25,2,1,0,1,1,1,1,0,3,5,6,
Kelly Olynyk,C,24,BOS,69,8,1395,253,556,85,210,168,346,0.531,96,0.75,72,209,281,105,52,33,74,163,687,
Kelly Oubre,SF,20,WAS,63,9,671,90,211,25,79,65,132,0.486,31,0.633,25,108,133,13,22,7,34,100,236,
Kemba Walker,PG,25,CHO,81,81,2885,568,1331,182,490,386,841,0.495,371,0.847,56,301,357,421,126,39,171,111,1689,
Kendall Marshall,PG,24,PHI,30,6,400,43,118,16,49,27,69,0.432,9,0.692,2,26,28,73,16,2,43,30,111,
Kendrick Perkins,C,31,NOP,37,5,542,40,75,0,0,40,75,0.533,11,0.44,25,103,128,31,11,11,41,64,91,
Kenneth Faried,PF,26,DEN,67,64,1694,349,626,1,2,348,624,0.558,136,0.613,235,346,581,79,32,60,91,169,835,
Kent Bazemore,SF,26,ATL,75,68,2083,320,725,109,305,211,420,0.517,123,0.815,28,351,379,171,98,38,138,176,872,
Kentavious Caldwell-Pope,SG,22,DET,76,76,2789,403,960,114,369,289,591,0.479,185,0.811,70,212,282,138,110,17,105,167,1105,
Kevin Durant,SF,27,OKC,72,72,2578,698,1381,186,481,512,900,0.573,447,0.898,45,544,589,361,69,85,250,137,2029,
Kevin Garnett,PF,39,MIN,38,38,556,54,115,0,1,54,114,0.47,14,0.667,15,135,150,62,28,10,16,70,122,
Kevin Love,PF,27,CLE,77,77,2424,409,977,158,439,251,538,0.499,258,0.822,149,613,762,186,58,41,142,159,1234,
Kevin Martin,SG,32,TOT,55,13,1095,156,419,49,136,107,283,0.431,153,0.89,14,96,110,58,26,3,54,83,514,
Kevin Seraphin,C,26,NYK,48,0,526,84,205,0,2,84,203,0.41,19,0.826,31,95,126,47,8,36,43,67,187,
Kevon Looney,PF,19,GSW,5,0,21,4,7,1,2,3,5,0.643,0,,4,6,10,0,0,0,1,2,9,
Khris Middleton,SG,24,MIL,79,79,2852,507,1142,143,361,364,781,0.507,277,0.888,44,258,302,331,131,19,180,204,1434,
Kirk Hinrich,PG,35,TOT,46,7,631,49,129,24,62,25,67,0.473,15,0.938,8,62,70,73,15,2,30,64,137,
Klay Thompson,SG,25,GSW,80,80,2666,651,1386,276,650,375,736,0.569,193,0.873,35,271,306,166,60,49,138,152,1771,
Kobe Bryant,SF,37,LAL,66,66,1863,398,1113,133,467,265,646,0.417,232,0.826,41,206,247,184,62,13,129,115,1161,
Kosta Koufos,C,26,SAC,78,14,1482,236,444,0,0,236,444,0.532,57,0.548,169,254,423,33,40,70,48,185,529,
Kostas Papanikolaou,SF,25,DEN,26,6,294,24,66,10,32,14,34,0.439,9,0.643,8,32,40,16,13,5,21,24,67,
Kris Humphries,PF,30,TOT,53,17,835,121,295,34,108,87,187,0.468,67,0.798,57,161,218,36,16,23,38,94,343,
Kristaps Porzingis,PF,20,NYK,72,72,2047,373,886,81,243,292,643,0.467,201,0.838,132,394,526,94,53,134,121,205,1028,
Kyle Anderson,SF,22,SAS,78,11,1245,138,295,12,37,126,258,0.488,62,0.747,25,219,244,123,60,29,59,97,350,
Kyle Korver,SG,34,ATL,80,80,2401,268,616,158,397,110,219,0.563,45,0.833,14,246,260,164,60,35,98,161,739,
Kyle Lowry,PG,29,TOR,77,77,2851,512,1198,212,547,300,651,0.516,398,0.811,55,310,365,494,158,34,225,211,1634,
Kyle O'Quinn,PF,25,NYK,65,1,764,129,271,5,22,124,249,0.485,46,0.767,76,174,250,72,20,49,61,107,309,
Kyle Singler,SF,27,OKC,68,2,977,86,221,30,97,56,124,0.457,29,0.659,50,91,141,24,30,9,32,120,231,
Kyrie Irving,PG,23,CLE,53,53,1667,394,879,84,262,310,617,0.496,169,0.885,44,113,157,249,56,18,124,107,1041,
Lamar Patterson,SG,24,ATL,35,0,395,28,80,12,49,16,31,0.425,16,0.727,4,46,50,39,9,2,23,45,84,
LaMarcus Aldridge,PF,30,SAS,74,74,2261,536,1045,0,16,536,1029,0.513,259,0.858,176,456,632,110,38,81,99,151,1331,
Lance Stephenson,SF,25,TOT,69,13,1372,228,474,30,78,198,396,0.513,87,0.784,40,183,223,133,43,9,94,135,573,
Lance Thomas,PF,27,NYK,59,5,1313,169,382,44,109,125,273,0.5,102,0.857,34,97,131,53,22,7,57,109,484,
Langston Galloway,PG,24,NYK,82,7,2033,231,588,77,224,154,364,0.458,86,0.754,43,245,288,207,77,22,61,177,625,
Larry Nance,PF,23,LAL,63,22,1266,158,300,1,10,157,290,0.528,32,0.681,101,211,312,44,54,23,41,124,349,
Lavoy Allen,PF,26,IND,79,28,1599,191,370,0,0,191,370,0.516,46,0.63,162,262,424,76,26,42,69,147,428,
Leandro Barbosa,SG,33,GSW,68,0,1079,171,370,39,110,132,260,0.515,52,0.839,28,89,117,82,44,10,53,107,433,
LeBron James,SF,31,CLE,76,76,2709,737,1416,87,282,650,1134,0.551,359,0.731,111,454,565,514,104,49,249,143,1920,
Lorenzo Brown,PG,25,PHO,8,0,61,8,25,1,8,7,17,0.34,3,0.75,0,7,7,11,3,1,9,4,20,
Lou Amundson,PF,33,NYK,29,0,204,19,53,0,0,19,53,0.358,14,0.519,23,26,49,12,6,7,15,44,52,
Lou Williams,SG,29,LAL,67,35,1907,283,693,110,320,173,373,0.488,352,0.83,31,138,169,167,62,19,107,107,1028,
Luc Mbah a Moute,PF,29,LAC,75,61,1274,94,207,13,40,81,167,0.486,30,0.526,60,111,171,30,44,19,34,100,231,
Lucas Nogueira,C,23,TOR,29,1,225,28,44,1,3,27,41,0.648,8,0.533,18,28,46,7,12,12,11,29,65,
Luis Montero,SG,22,POR,12,0,42,5,19,1,9,4,10,0.289,3,0.75,0,4,4,1,0,0,4,1,14,
Luis Scola,PF,35,TOR,76,76,1636,269,598,65,161,204,437,0.504,61,0.726,84,276,360,66,46,27,68,178,664,
Luke Babbitt,SF,26,NOP,47,13,845,122,289,44,109,78,180,0.498,39,0.78,25,123,148,53,11,7,23,90,327,
Luol Deng,PF,30,MIA,74,73,2394,339,745,88,256,251,489,0.514,145,0.755,108,335,443,140,74,29,81,122,911,
Manu Ginobili,SG,38,SAS,58,0,1134,197,435,70,179,127,256,0.533,91,0.813,26,120,146,177,66,11,99,99,555,
Marc Gasol,C,31,MEM,52,52,1791,328,707,2,3,326,704,0.465,203,0.829,58,304,362,196,50,70,118,141,861,
Marcelo Huertas,PG,32,LAL,53,0,869,97,230,16,61,81,169,0.457,27,0.931,18,72,90,182,26,7,80,76,237,
Marcin Gortat,C,31,WAS,75,74,2256,433,764,0,1,433,763,0.567,146,0.705,222,519,741,106,47,96,121,193,1012,
Marco Belinelli,SG,29,SAC,68,7,1672,245,635,91,297,154,338,0.457,115,0.833,10,107,117,127,37,2,80,91,696,
Marcus Morris,SF,26,DET,80,80,2856,410,945,108,298,302,647,0.491,203,0.749,91,313,404,201,67,23,140,170,1131,
Marcus Smart,PG,21,BOS,61,10,1667,184,529,61,241,123,288,0.405,129,0.777,76,179,255,185,91,18,80,183,558,
Marcus Thornton,SG,28,TOT,61,8,1109,216,542,91,270,125,272,0.482,67,0.848,38,112,150,85,47,4,51,90,590,
Mario Chalmers,PG,29,TOT,61,7,1373,182,444,46,149,136,295,0.462,218,0.832,24,133,157,230,88,13,110,181,628,
Mario Hezonja,SF,20,ORL,79,9,1413,181,418,67,192,114,226,0.513,49,0.907,28,148,176,109,39,17,97,124,478,
Markel Brown,SG,24,BRK,62,6,982,127,322,38,121,89,201,0.453,71,0.755,23,99,122,91,38,15,54,94,363,
Markieff Morris,PF,26,TOT,64,45,1629,305,718,47,155,258,563,0.458,108,0.735,73,279,352,124,58,34,135,184,765,
Marreese Speights,C,28,GSW,72,0,832,197,456,24,62,173,394,0.458,94,0.825,77,162,239,61,19,34,66,117,512,
Marvin Williams,PF,29,CHO,81,81,2338,338,747,152,378,186,369,0.554,120,0.833,127,394,521,110,58,77,62,133,948,
Mason Plumlee,C,25,POR,82,82,2084,267,517,0,4,267,513,0.516,215,0.642,201,427,628,226,68,85,154,253,749,
Matt Barnes,SF,35,MEM,76,45,2190,264,693,119,370,145,323,0.467,111,0.804,84,336,420,163,78,57,121,234,758,
Matt Bonner,C,35,SAS,30,2,206,29,57,15,34,14,23,0.64,3,0.75,3,24,27,9,6,1,3,16,76,
Matthew Dellavedova,PG,25,CLE,76,14,1867,207,511,98,239,109,272,0.501,57,0.864,33,129,162,337,44,9,116,178,569,
Maurice Harkless,SF,22,POR,78,14,1457,195,411,39,140,156,271,0.522,69,0.622,101,179,280,67,49,35,62,124,498,
Metta World Peace,SF,36,LAL,35,5,590,55,177,26,84,29,93,0.384,40,0.702,19,70,89,27,22,11,15,67,176,
Meyers Leonard,PF,23,POR,61,10,1333,195,435,86,228,109,207,0.547,35,0.761,51,263,314,92,8,18,77,183,511,
Michael Beasley,PF,27,HOU,20,0,363,107,205,3,9,104,196,0.529,38,0.776,29,69,98,16,11,9,24,39,255,
Michael Carter-Williams,PG,24,MIL,54,37,1649,251,555,15,55,236,500,0.466,106,0.654,48,228,276,281,80,41,153,162,623,
Michael Kidd-Gilchrist,SF,22,CHO,7,7,205,33,61,3,7,30,54,0.566,20,0.69,12,33,45,9,3,3,8,9,89,
Mike Conley,PG,28,MEM,56,56,1761,294,696,78,215,216,481,0.478,191,0.834,26,138,164,342,67,16,84,100,857,
Mike Dunleavy,SF,35,CHI,31,30,703,77,188,39,99,38,89,0.513,29,0.784,8,75,83,39,14,10,26,66,222,
Mike Miller,SF,35,DEN,47,2,373,22,62,19,52,3,10,0.508,0,,6,47,53,40,13,4,17,53,63,
Mike Muscala,C,24,ATL,60,0,565,76,152,12,39,64,113,0.539,31,0.795,38,79,117,34,13,27,27,72,195,
Mike Scott,PF,27,ATL,75,0,1146,176,376,62,158,114,218,0.551,50,0.794,53,153,206,78,25,17,42,102,464,
Miles Plumlee,C,27,MIL,61,14,870,140,233,0,0,140,233,0.601,34,0.576,94,138,232,16,21,50,40,73,314,
Mirza Teletovic,PF,30,PHO,79,1,1686,332,777,181,460,151,317,0.544,120,0.774,55,247,302,89,32,21,84,159,965,
Mitch McGary,PF,23,OKC,20,0,72,11,23,0,4,11,19,0.478,4,0.4,4,14,18,3,1,2,7,10,26,
Mo Williams,PG,33,CLE,41,14,748,132,302,36,102,96,200,0.497,38,0.905,6,66,72,98,14,5,57,60,338,
Monta Ellis,SG,30,IND,81,81,2734,436,1021,87,282,349,739,0.47,162,0.786,42,229,271,383,150,37,203,174,1121,
Montrezl Harrell,PF,22,HOU,39,1,379,58,90,0,1,58,89,0.644,24,0.522,25,40,65,17,11,11,17,48,140,
Myles Turner,C,19,IND,60,30,1367,264,530,3,14,261,516,0.501,88,0.727,68,264,332,41,25,86,67,158,619,
Nate Robinson,PG,31,NOP,2,1,23,0,1,0,1,0,0,0,0,,0,0,0,4,1,0,0,5,0,
Nazr Mohammed,C,38,OKC,5,0,19,3,5,0,0,3,5,0.6,2,1,1,3,4,0,0,0,3,4,8,
Nemanja Bjelica,PF,27,MIN,60,0,1075,110,235,48,125,62,110,0.57,40,0.727,49,161,210,83,26,21,47,154,308,
Nene Hilario,PF,33,WAS,57,11,1094,209,384,0,3,209,381,0.544,107,0.578,52,207,259,97,54,26,76,156,525,
Nerlens Noel,C,21,PHI,67,62,1965,306,587,1,2,305,585,0.522,134,0.59,154,388,542,122,118,100,158,192,747,
Nick Collison,PF,35,OKC,59,4,699,50,109,0,2,50,107,0.459,23,0.697,68,103,171,52,15,16,50,107,123,
Nick Young,SG,30,LAL,54,2,1033,126,372,77,237,49,135,0.442,63,0.829,14,83,97,34,23,7,30,50,392,
Nicolas Batum,SF,27,CHO,70,70,2448,372,873,139,399,233,474,0.506,163,0.849,55,373,428,403,65,43,205,114,1046,
Nik Stauskas,SG,22,PHI,73,35,1809,210,545,106,325,104,220,0.483,91,0.771,23,160,183,138,44,20,94,115,617,
Nikola Jokic,C,20,DEN,80,55,1733,307,600,28,84,279,516,0.535,154,0.811,181,379,560,189,79,50,104,208,796,
Nikola Mirotic,PF,24,CHI,66,38,1646,248,609,135,346,113,263,0.518,146,0.807,58,304,362,100,58,46,102,151,777,
Nikola Pekovic,C,30,MIN,12,3,156,19,50,0,0,19,50,0.38,16,0.8,7,14,21,11,1,0,9,22,54,
Nikola Vucevic,C,25,ORL,65,60,2037,533,1046,2,9,531,1037,0.511,113,0.753,174,402,576,179,53,70,123,173,1181,
Noah Vonleh,PF,20,POR,78,56,1174,117,278,11,46,106,232,0.441,38,0.745,91,214,305,30,27,26,50,152,283,
Norman Powell,SG,22,TOR,49,24,725,97,229,36,89,61,140,0.502,43,0.811,16,95,111,47,29,10,32,59,273,
Norris Cole,PG,27,NOP,45,23,1198,196,484,33,102,163,382,0.439,52,0.8,10,141,151,167,37,5,75,102,477,
O.J. Mayo,SG,28,MIL,41,24,1090,119,321,52,162,67,159,0.452,31,0.775,13,92,105,118,48,8,72,126,321,
Omer Asik,C,29,NOP,68,64,1178,104,195,0,0,104,195,0.533,61,0.545,120,294,414,26,21,23,60,124,269,
Omri Casspi,PF,27,SAC,69,21,1880,299,622,112,274,187,348,0.571,103,0.648,58,352,410,95,56,17,94,154,813,
Orlando Johnson,SG,26,TOT,7,1,101,9,34,2,10,7,24,0.294,6,0.75,4,11,15,2,3,3,4,9,26,
Otto Porter,SF,22,WAS,75,73,2276,339,717,98,267,241,450,0.541,95,0.754,97,294,391,120,105,32,70,163,871,
P.J. Hairston,SF,23,TOT,66,52,1313,145,408,70,241,75,167,0.441,50,0.781,25,149,174,38,32,11,41,137,410,
P.J. Tucker,SF,30,PHO,82,80,2540,239,582,68,206,171,376,0.469,106,0.746,165,347,512,177,106,20,111,202,652,
Pablo Prigioni,PG,38,LAC,59,3,823,55,147,28,95,27,52,0.469,7,0.875,38,76,114,130,53,1,49,82,145,
Pat Connaughton,SG,23,POR,34,0,143,13,49,5,21,8,28,0.316,5,1,11,21,32,10,2,0,10,6,36,
Patrick Beverley,PG,27,HOU,71,63,2041,258,594,124,310,134,284,0.539,60,0.682,73,177,250,239,94,26,91,234,700,
Patrick Patterson,PF,26,TOR,79,0,2020,204,493,106,293,98,200,0.521,29,0.853,77,265,342,94,53,32,65,128,543,
Patty Mills,PG,27,SAS,81,3,1662,260,612,123,320,137,292,0.525,47,0.81,27,131,158,226,59,6,76,102,690,
Pau Gasol,C,35,CHI,72,72,2291,467,995,24,69,443,926,0.481,229,0.792,155,638,793,294,42,146,164,148,1187,
Paul George,SF,25,IND,81,81,2819,605,1449,210,566,395,883,0.49,454,0.86,79,484,563,329,152,29,265,230,1874,
Paul Millsap,PF,30,ATL,81,81,2647,501,1066,74,232,427,834,0.505,309,0.757,198,534,732,265,147,139,191,237,1385,
Paul Pierce,SF,38,LAC,68,38,1231,144,397,75,242,69,155,0.457,54,0.818,12,174,186,71,33,17,58,129,417,
Phil Pressey,PG,24,TOT,23,0,283,30,78,4,18,26,60,0.41,13,0.52,3,28,31,75,18,4,33,28,77,
Quincy Acy,PF,25,SAC,59,29,876,119,214,19,49,100,165,0.6,50,0.735,65,123,188,27,29,24,27,103,307,
R.J. Hunter,SG,22,BOS,36,0,315,36,98,19,63,17,35,0.464,6,0.857,2,35,37,13,14,4,11,29,97,
Rajon Rondo,PG,29,SAC,72,72,2537,355,782,62,170,293,612,0.494,87,0.58,77,358,435,839,141,10,278,175,859,
Rakeem Christmas,PF,24,IND,1,0,6,2,2,0,0,2,2,1,0,,1,0,1,0,0,0,0,1,4,
Ramon Sessions,PG,29,WAS,82,5,1667,280,592,36,111,244,481,0.503,214,0.756,25,178,203,239,46,5,115,102,810,
Randy Foye,SG,32,TOT,81,8,1642,169,482,75,250,94,232,0.428,61,0.824,24,132,156,161,39,29,86,131,474,
Rashad Vaughn,SG,19,MIL,70,6,1001,81,266,43,147,38,119,0.385,12,0.8,11,77,88,39,29,16,28,73,217,
Rasual Butler,SF,36,SAS,46,0,432,49,104,15,49,34,55,0.543,11,0.688,3,53,56,24,13,23,8,11,124,
Raul Neto,PG,23,UTA,81,53,1499,180,418,64,162,116,256,0.507,52,0.743,17,103,120,174,62,2,109,122,476,
Ray McCallum,PG,24,TOT,41,6,475,55,146,15,42,40,104,0.428,12,0.8,8,39,47,60,12,7,24,29,137,
Raymond Felton,PG,31,DAL,80,31,2192,277,682,60,213,217,469,0.45,149,0.847,36,222,258,284,68,15,121,141,763,
Reggie Bullock,SF,24,DET,37,0,429,43,98,22,53,21,45,0.551,14,0.933,14,54,68,27,10,2,8,29,122,
Reggie Jackson,PG,25,DET,79,79,2424,540,1244,118,334,422,910,0.482,291,0.864,58,195,253,492,59,11,223,187,1489,
Richard Jefferson,SF,35,CLE,74,5,1326,143,312,66,173,77,139,0.564,58,0.667,15,113,128,59,33,14,43,129,410,
Richaun Holmes,PF,22,PHI,51,1,702,114,222,8,44,106,178,0.532,51,0.689,62,73,135,33,19,40,32,92,287,
Ricky Rubio,PG,25,MIN,76,76,2323,219,586,62,190,157,396,0.427,266,0.847,40,286,326,658,162,10,193,201,766,
Robert Covington,SF,25,PHI,67,49,1903,274,712,170,482,104,230,0.504,140,0.791,65,354,419,97,105,40,143,232,858,
Robert Sacre,C,26,LAL,25,1,320,31,75,0,0,31,75,0.413,25,0.658,32,40,72,14,4,10,12,43,87,
Robin Lopez,C,27,NYK,82,82,2219,357,662,0,1,357,661,0.539,128,0.795,268,334,602,114,16,129,133,182,842,
Rodney Hood,SG,23,UTA,79,79,2541,408,972,161,449,247,523,0.503,172,0.86,38,229,267,213,73,16,125,202,1149,
Rodney Stuckey,PG,29,IND,58,1,1275,183,443,20,83,163,360,0.436,131,0.829,19,137,156,142,43,8,76,77,517,
Rondae Hollis-Jefferson,SF,21,BRK,29,17,615,63,138,4,14,59,124,0.471,37,0.712,39,115,154,43,39,16,26,61,167,
Ronnie Price,PG,32,PHO,62,18,1211,116,302,68,196,48,106,0.497,31,0.756,25,74,99,147,74,13,70,161,331,
Roy Hibbert,C,29,LAL,81,81,1878,182,411,0,2,182,409,0.443,117,0.807,132,266,398,95,32,110,76,252,481,
Rudy Gay,SF,29,SAC,70,70,2379,466,1007,74,215,392,792,0.5,198,0.78,103,353,456,120,100,51,139,184,1204,
