Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Frank Ntilikina,PG,19,NYK,78,9,1706,182,500,50,157,132,343,49,68,37,140,177,250,66,18,131,181,463
Fred VanVleet,PG,23,TOR,76,0,1520,232,545,108,261,124,284,84,101,25,159,184,243,68,19,74,130,656
Furkan Korkmaz,SG,20,PHI,14,0,80,8,28,5,17,3,11,2,4,2,9,11,4,2,1,2,12,23
Garrett Temple,SG,31,SAC,65,35,1615,199,476,89,227,110,249,60,78,22,130,152,124,57,27,79,135,547
Gary Harris,SG,23,DEN,67,65,2304,440,908,156,394,284,514,134,162,37,139,176,194,122,15,119,119,1170
Gary Payton,PG,25,TOT,23,6,221,30,74,6,25,24,49,3,9,13,31,44,21,7,3,7,30,69
George Hill,PG,31,TOT,67,60,1812,236,513,85,205,151,308,110,140,42,139,181,186,61,27,88,128,667
Georges Niang,PF,24,UTA,9,0,32,4,11,0,4,4,7,1,2,3,6,9,3,2,0,3,1,9
Georgios Papagiannis,C,20,TOT,17,0,122,18,42,0,0,18,42,0,0,13,24,37,9,4,6,8,12,36
Gerald Green,SG,32,HOU,41,2,929,168,413,110,298,58,115,51,60,15,118,133,25,24,15,31,87,497
Gian Clavell,SG,24,DAL,7,0,64,6,18,6,15,0,3,2,2,1,6,7,3,2,0,2,8,20
Giannis Antetokounmpo,PF,23,MIL,75,75,2756,742,1402,43,140,699,1262,487,641,156,597,753,361,109,106,223,231,2014
Glenn Robinson,SF,24,IND,23,1,338,36,85,14,34,22,51,9,11,11,26,37,17,13,1,5,14,95
Goran Dragic,PG,31,MIA,75,75,2378,484,1075,111,300,373,775,217,271,54,253,307,359,63,12,166,180,1296
Gordon Hayward,SF,27,BOS,1,1,5,1,2,0,1,1,1,0,0,0,1,1,0,0,0,0,1,2
Gorgui Dieng,C,28,MIN,79,0,1333,186,388,19,61,167,327,79,102,106,254,360,71,45,39,59,147,470
Greg Monroe,C,27,TOT,51,14,1040,218,386,0,0,218,386,88,119,109,241,350,114,44,23,94,95,524
Guerschon Yabusele,PF,22,BOS,33,4,235,26,61,12,37,14,24,15,22,17,35,52,16,4,5,12,23,79
Harrison Barnes,PF,25,DAL,77,77,2634,537,1208,119,333,418,875,259,313,77,391,468,152,49,14,118,94,1452
Hassan Whiteside,C,28,MIA,54,54,1364,312,578,2,2,310,576,128,182,174,444,618,54,37,94,92,131,754
Henry Ellenson,PF,21,DET,38,0,329,53,146,20,60,33,86,25,29,10,71,81,20,5,0,18,22,151
Ian Clark,SG,26,NOP,74,2,1455,222,495,62,195,160,300,45,59,10,117,127,110,33,10,57,120,551
Ian Mahinmi,C,31,WAS,77,0,1145,138,248,0,2,138,246,90,128,135,177,312,53,38,42,100,230,366
Ike Anigbogu,C,19,IND,11,0,30,4,9,0,0,4,9,5,6,5,4,9,0,1,3,2,1,13
Iman Shumpert,SG,27,CLE,14,6,276,22,58,7,26,15,32,11,15,7,34,41,17,9,4,16,22,62
