Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Andrei Kirilenko,PF,32,BRK,45,4,857,82,160,1,5,81,155,61,119,55,91,146,72,40,19,54,65,226
Andrew Bogut,C,29,GSW,67,67,1769,235,375,0,0,235,375,22,64,182,489,671,112,47,121,97,210,492
Andrew Bynum,C,26,TOT,26,19,516,94,225,0,0,94,225,37,49,53,92,145,29,6,29,34,31,225
Andrew Nicholson,PF,24,ORL,76,5,1174,180,420,28,89,152,331,47,57,53,202,255,25,18,23,51,150,435
Andris Biedrins,C,27,UTA,6,0,45,1,1,0,0,1,1,1,6,2,15,17,0,0,0,2,6,3
Antawn Jamison,PF,37,LAC,22,0,248,29,92,8,41,21,51,18,25,9,46,55,7,9,3,7,29,84
Anthony Bennett,PF,20,CLE,52,0,663,80,225,13,53,67,172,44,69,49,106,155,17,21,8,47,93,217
Anthony Davis,PF,20,NOP,67,66,2358,522,1005,2,9,520,996,348,440,207,466,673,105,89,189,109,200,1394
Anthony Morrow,SG,28,NOP,76,9,1426,238,520,88,195,150,325,72,87,29,111,140,59,38,12,51,102,636
Anthony Randolph,PF,24,DEN,43,5,527,68,176,18,61,50,115,52,69,20,102,122,32,26,19,39,64,206
Anthony Tolliver,PF,28,CHA,64,9,1298,129,307,102,247,27,60,33,41,33,135,168,42,19,15,23,82,393
Archie Goodwin,SG,19,PHO,52,0,533,76,167,5,36,71,131,37,55,25,62,87,20,20,11,44,45,194
Arinze Onuaku,PF,26,TOT,5,0,30,1,5,0,0,1,5,1,2,2,6,8,3,0,0,1,3,3
Arnett Moultrie,PF,23,PHI,12,2,187,16,38,0,0,16,38,4,5,11,24,35,2,8,4,7,22,36
Aron Baynes,C,27,SAS,53,4,491,71,163,0,0,71,163,19,21,57,88,145,34,2,5,36,77,161
Arron Afflalo,SG,28,ORL,73,73,2552,464,1011,128,300,336,711,274,336,32,230,262,248,35,3,146,136,1330
Austin Daye,SF,25,TOT,22,1,148,24,68,12,37,12,31,6,10,5,22,27,8,4,4,5,18,66
Austin Rivers,PG,21,NOP,69,4,1339,192,474,36,99,156,375,110,173,26,103,129,160,45,9,77,134,530
Avery Bradley,SG,23,BOS,60,58,1855,361,825,79,200,282,625,90,112,48,178,226,85,63,11,96,145,891
Ben Gordon,SG,30,CHA,19,0,279,37,108,8,29,29,79,17,21,3,24,27,21,10,2,21,18,99
Ben McLemore,SG,20,SAC,82,55,2187,255,679,95,297,160,382,115,143,53,182,235,82,45,18,96,201,720
Beno Udrih,SG,31,TOT,41,12,643,78,178,19,42,59,136,25,30,10,49,59,116,23,4,47,50,200
Bernard James,C,28,DAL,30,0,146,11,23,0,1,11,22,6,11,15,27,42,3,3,8,10,24,28
Bismack Biyombo,C,21,CHA,77,9,1072,88,144,0,0,88,144,46,89,105,261,366,8,7,86,40,124,222
Blake Griffin,PF,24,LAC,80,80,2863,718,1359,12,44,706,1315,482,674,192,565,757,309,92,51,224,265,1930
Boris Diaw,PF,31,SAS,79,24,1974,302,580,45,112,257,468,68,92,74,252,326,222,44,32,121,140,717
Bradley Beal,SG,20,WAS,73,73,2530,481,1149,138,343,343,806,149,189,54,219,273,243,71,18,128,153,1249
Brandan Wright,C,26,DAL,58,0,1077,224,331,0,0,224,331,77,106,102,142,244,31,32,55,35,94,525
Brandon Bass,PF,28,BOS,82,73,2266,352,725,2,6,350,719,205,239,161,309,470,87,36,71,102,190,911
Brandon Davies,PF,22,PHI,51,0,575,54,128,2,10,52,118,34,53,38,71,109,28,24,8,35,92,144
Brandon Jennings,PG,24,DET,80,79,2728,423,1135,154,457,269,678,241,321,59,185,244,609,101,8,215,157,1241
Brandon Knight,PG,22,MIL,72,69,2400,461,1092,110,338,351,754,259,323,46,209,255,352,69,17,188,146,1291
Brandon Rush,SG,28,UTA,38,0,418,30,90,16,47,14,43,3,5,5,39,44,24,5,9,20,31,79
Brian Roberts,PG,28,NOP,72,42,1667,244,581,64,178,180,403,125,133,17,119,136,234,43,7,95,132,677
Brook Lopez,C,25,BRK,17,17,533,129,229,0,1,129,228,94,115,39,63,102,16,9,30,28,52,352
Byron Mullens,C,24,TOT,45,0,414,73,165,33,89,40,76,10,20,24,68,92,14,15,11,27,64,189
C.J. McCollum,SG,22,POR,38,0,476,74,178,30,80,44,98,23,34,7,41,48,27,14,2,35,53,201
C.J. Miles,SG,26,CLE,51,34,984,178,409,83,211,95,198,64,75,18,85,103,52,46,15,44,103,503
C.J. Watson,PG,29,IND,63,5,1193,146,334,53,145,93,189,69,88,19,82,101,107,60,8,60,66,414
Carl Landry,PF,30,SAC,18,1,233,31,60,0,0,31,60,14,17,15,42,57,5,3,1,9,34,76
Carlos Boozer,PF,32,CHI,76,76,2141,447,980,0,2,447,978,148,193,137,495,632,118,53,22,154,216,1042
Carmelo Anthony,PF,29,NYK,77,77,2982,743,1643,167,415,576,1228,459,541,145,477,622,242,95,51,198,224,2112
Caron Butler,SF,33,TOT,56,13,1419,213,540,98,249,115,291,63,75,21,208,229,82,47,17,60,120,587
Carrick Felix,SG,23,CLE,7,0,38,7,14,2,5,5,9,3,4,1,5,6,4,0,0,4,4,19
Cartier Martin,SF,29,TOT,59,6,870,111,264,59,151,52,113,48,65,13,97,110,33,27,7,34,71,329
Casper Ware,PG,24,PHI,9,0,116,18,42,7,21,11,21,5,6,0,9,9,10,8,0,5,11,48
Chandler Parsons,SF,25,HOU,74,74,2783,466,987,130,351,336,636,164,221,69,340,409,298,88,29,144,168,1226
Channing Frye,PF,30,PHO,82,82,2312,336,778,160,432,176,346,78,95,73,343,416,98,60,63,89,245,910
Charlie Villanueva,PF,29,DET,20,0,180,35,92,14,56,21,36,8,14,6,28,34,6,4,5,7,16,92
Chase Budinger,SF,25,MIN,41,8,751,100,254,42,120,58,134,32,39,19,84,103,31,19,2,24,58,274
Chauncey Billups,SG,37,DET,19,7,309,24,79,14,48,10,31,10,12,4,24,28,42,8,1,25,25,72
Chris Andersen,C,35,MIA,72,0,1396,177,275,3,12,174,263,120,169,129,250,379,19,32,97,53,162,477
Chris Babb,SG,23,BOS,14,0,132,8,30,6,27,2,3,0,0,4,13,17,3,6,0,3,13,22
Chris Bosh,C,29,MIA,79,79,2531,492,953,74,218,418,735,223,272,98,424,522,87,80,78,125,192,1281
Chris Copeland,SF,29,IND,41,0,265,55,117,33,79,22,38,10,14,7,25,32,18,3,7,14,38,153
Chris Douglas-Roberts,SF,27,CHA,49,8,1016,111,252,51,132,60,120,66,82,16,103,119,51,29,16,36,61,339
Chris Johnson,SF,23,BOS,40,0,789,85,214,43,127,42,87,37,43,31,66,97,31,27,4,22,63,250
Chris Kaman,C,31,LAL,39,13,736,176,346,0,3,176,343,52,68,54,175,229,58,11,40,74,93,404
Chris Paul,PG,28,LAC,62,62,2171,406,870,78,212,328,658,295,345,38,230,268,663,154,4,145,157,1185
Chris Singleton,SF,24,WAS,25,0,250,25,67,7,19,18,48,18,25,18,37,55,6,9,3,17,25,75
Chris Smith,PG,26,NYK,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Wright,SF,25,MIL,8,0,126,21,35,0,1,21,34,6,15,10,10,20,5,7,5,5,17,48
Chuck Hayes,C,30,TOT,61,1,754,56,130,0,1,56,129,20,25,69,141,210,35,34,12,33,95,132
Cody Zeller,C,21,CHA,82,3,1416,172,404,0,1,172,403,146,200,118,235,353,92,40,41,87,170,490
Cole Aldrich,C,25,NYK,46,2,330,33,61,0,0,33,61,26,30,37,92,129,14,8,30,18,40,92
Corey Brewer,SF,27,MIN,81,81,2609,388,807,59,211,329,596,163,227,63,144,207,135,151,30,105,210,998
Cory Joseph,SG,22,SAS,68,19,936,126,265,12,38,114,227,79,96,32,75,107,114,35,14,43,84,343
Courtney Lee,SG,28,TOT,79,47,1973,295,614,72,194,223,420,99,112,29,158,187,115,65,28,73,127,761
D.J. Augustin,PG,26,TOT,71,9,1939,298,718,133,332,165,386,201,227,15,115,130,313,53,3,125,147,930
D.J. Stephens,SG,23,MIL,3,0,15,3,7,0,0,3,7,1,1,1,4,5,0,0,0,0,0,7
D.J. White,PF,27,CHA,2,0,10,0,1,0,0,0,1,0,0,0,2,2,0,1,0,0,1,0
Damian Lillard,PG,23,POR,82,82,2937,553,1304,218,554,335,750,371,426,35,253,288,457,64,22,193,197,1695
Damion James,SF,26,SAS,5,1,50,2,9,0,2,2,7,2,2,1,11,12,3,0,1,1,3,6
Daniel Orton,C,23,PHI,22,4,251,21,47,0,0,21,47,23,30,16,45,61,15,6,16,18,38,65
Danny Granger,SF,30,TOT,41,2,847,116,307,43,128,73,179,63,67,31,102,133,41,12,17,46,62,338
Danny Green,SG,26,SAS,68,59,1651,218,505,132,318,86,187,50,63,25,204,229,104,65,61,76,107,618
Dante Cunningham,PF,26,MIN,81,7,1635,236,509,0,5,236,504,38,67,112,218,330,83,62,58,42,146,510
Darius Johnson-Odom,SG,24,PHI,3,0,15,0,7,0,3,0,4,0,2,0,2,2,1,1,0,2,3,0
Darius Miller,SF,23,NOP,45,7,723,73,166,25,77,48,89,29,36,9,43,52,43,24,9,22,88,200
Darius Morris,PG,23,TOT,27,0,313,39,96,12,38,27,58,17,26,7,19,26,44,13,0,27,33,107
Darrell Arthur,SF,25,DEN,68,1,1161,162,410,24,64,138,346,53,62,52,158,210,61,39,47,58,185,401
Darren Collison,PG,26,LAC,80,35,2069,324,694,71,189,253,505,192,224,47,141,188,297,93,15,132,150,911
David Lee,PF,30,GSW,69,67,2288,513,981,0,1,513,980,231,296,182,461,643,147,48,26,152,206,1257
David West,PF,33,IND,80,80,2472,458,939,4,15,454,924,198,251,120,422,542,223,61,74,133,186,1118
DeAndre Jordan,C,25,LAC,82,82,2870,348,515,0,0,348,515,160,374,331,783,1114,74,80,203,123,264,856
DeAndre Liggins,SG,25,MIA,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2
DeJuan Blair,PF,24,DAL,78,13,1214,210,393,0,2,210,391,77,121,139,229,368,70,60,21,77,192,497
DeMar DeRozan,SG,24,TOR,79,79,3017,604,1407,64,210,540,1197,519,630,51,292,343,313,86,28,176,197,1791
DeMarcus Cousins,C,23,SAC,71,71,2298,591,1191,0,7,591,1184,432,595,218,613,831,207,109,91,251,270,1614
DeMarre Carroll,SF,27,ATL,73,73,2341,302,642,97,268,205,374,109,141,107,296,403,134,108,21,79,188,810
Dennis Schroder,PG,20,ATL,49,0,641,72,188,10,42,62,146,29,43,5,55,60,93,17,0,61,54,183
Derek Fisher,SG,39,OKC,81,0,1428,141,361,88,229,53,132,55,71,12,110,122,117,70,3,49,157,425
Deron Williams,PG,29,BRK,64,58,2059,322,716,98,268,224,448,173,216,15,153,168,392,93,13,143,148,915
Derrick Favors,PF,22,UTA,73,73,2201,390,747,0,1,390,746,190,284,199,438,637,91,75,108,129,236,970
Derrick Rose,PG,25,CHI,10,10,311,58,164,16,47,42,117,27,32,9,23,32,43,5,1,34,15,159
Derrick Williams,SF-PF,22,TOT,78,15,1820,206,482,26,99,180,383,186,259,71,252,323,56,48,20,76,114,624
Devin Harris,PG,30,DAL,40,0,818,96,254,31,101,65,153,92,115,8,77,85,178,28,2,59,72,315
Dewayne Dedmon,C,24,TOT,31,6,390,38,83,0,0,38,83,21,32,38,89,127,5,7,22,18,66,97
Dexter Pittman,C,25,ATL,2,0,3,0,1,0,0,0,1,0,2,3,0,3,0,0,0,0,0,0
Diante Garrett,PG,25,UTA,71,0,1048,101,265,36,96,65,169,10,12,11,86,97,120,41,5,75,75,248
Dion Waiters,SG,22,CLE,70,24,2072,430,993,92,250,338,743,161,235,32,163,195,209,63,17,154,153,1113
Dionte Christmas,SF,27,PHO,31,0,198,22,62,9,31,13,31,18,24,13,25,38,8,2,3,6,19,71
Dirk Nowitzki,PF,35,DAL,80,80,2628,633,1273,131,329,502,944,338,376,40,458,498,216,73,45,117,165,1735
Donald Sloan,SG,26,IND,48,1,392,44,117,10,42,34,75,12,20,4,40,44,50,10,1,22,19,110
Donatas Motiejunas,PF,23,HOU,62,3,952,131,296,21,84,110,212,58,96,60,165,225,34,20,21,49,132,341
Dorell Wright,SF,28,POR,68,13,984,111,297,69,202,42,95,52,69,29,162,191,64,23,16,39,62,343
Doron Lamb,SG,22,ORL,53,0,695,63,160,36,90,27,70,29,36,8,41,49,43,11,1,27,54,191
Draymond Green,SF,23,GSW,82,12,1797,187,459,55,165,132,294,82,123,86,323,409,152,102,72,91,231,511
Drew Gooden,C,32,WAS,22,0,395,76,143,7,17,69,126,24,27,37,77,114,15,10,7,17,53,183
Dwight Buycks,PG,24,TOR,14,0,146,15,48,5,17,10,31,8,9,4,19,23,10,8,0,10,11,43
Dwight Howard,C,28,HOU,71,71,2396,473,800,2,7,471,793,349,638,231,635,866,131,60,128,229,240,1297
Dwyane Wade,SG,32,MIA,54,53,1775,415,761,9,32,406,729,189,258,60,181,241,252,79,29,161,106,1028
E'Twaun Moore,SG,24,ORL,79,3,1506,195,456,57,161,138,295,52,68,29,107,136,112,60,13,55,106,499
Earl Clark,PF,26,TOT,54,17,768,97,261,41,122,56,139,22,34,22,121,143,18,17,25,31,67,257
Earl Watson,PG,34,POR,24,0,161,3,11,2,7,1,4,4,4,5,10,15,28,5,1,17,33,12
Ed Davis,PF,24,MEM,63,4,956,155,290,0,0,155,290,47,89,92,168,260,27,17,43,40,114,357
Ekpe Udoh,PF,26,MIL,42,14,804,57,143,0,0,57,143,30,47,61,87,148,31,15,44,38,96,144
Elias Harris,SF,24,LAL,2,0,11,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
Elliot Williams,SG,24,PHI,67,2,1157,140,337,37,125,103,212,87,119,30,100,130,72,35,3,68,126,404
Elton Brand,C,34,ATL,73,15,1414,179,332,0,2,179,330,61,94,97,264,361,74,40,88,60,192,419
Enes Kanter,C,21,UTA,80,37,2138,419,853,0,1,419,852,149,204,222,376,598,75,28,42,144,230,987
Eric Bledsoe,PG,24,PHO,43,40,1416,265,556,50,140,215,416,183,237,27,175,202,235,69,14,143,99,763
Eric Gordon,SG,25,NOP,64,64,2057,356,817,101,258,255,559,175,223,30,135,165,208,74,12,134,114,988
Eric Maynor,PG,26,TOT,31,0,327,32,101,12,37,20,64,6,11,9,30,39,52,9,3,29,17,82
Erik Murphy,C,23,CHI,24,0,62,3,13,0,3,3,10,0,0,2,6,8,2,0,4,2,7,6
Ersan Ilyasova,PF,26,MIL,55,47,1478,237,579,37,131,200,448,107,130,107,235,342,72,46,8,61,135,618
Evan Fournier,SG,21,DEN,76,4,1503,228,544,89,237,139,307,93,123,34,168,202,112,34,7,100,179,638
Evan Turner,SF,25,TOT,81,56,2457,434,1021,50,156,384,865,213,262,62,346,408,262,67,7,189,195,1131
Francisco Garcia,SF,32,HOU,55,4,1083,118,294,69,193,49,101,10,19,21,101,122,63,27,33,30,120,315
Gal Mekel,PG,25,DAL,31,1,292,30,86,5,20,25,66,8,12,5,22,27,63,4,1,31,31,73
Garrett Temple,SG,27,WAS,75,0,638,51,141,6,29,45,112,30,43,21,47,68,72,35,11,42,72,138
Gary Neal,SG,29,TOT,52,3,1114,193,471,68,180,125,291,94,105,10,80,90,83,18,0,64,65,548
George Hill,PG,27,IND,76,76,2434,272,616,95,260,177,356,142,176,53,230,283,265,75,23,92,158,781
Gerald Green,SG,28,PHO,82,48,2330,448,1006,204,510,244,496,195,230,48,227,275,122,70,42,145,220,1295
Gerald Henderson,SG,26,CHA,77,77,2461,403,930,40,115,363,815,235,309,31,279,310,199,51,32,113,159,1081
Gerald Wallace,SF,31,BOS,58,16,1416,116,230,19,64,97,166,47,101,36,176,212,143,73,14,97,79,298
Giannis Antetokounmpo,SF,19,MIL,77,23,1897,173,418,41,118,132,300,138,202,78,261,339,150,60,61,122,173,525
Glen Davis,PF,28,TOT,68,44,1662,271,593,4,11,267,582,95,137,108,243,351,77,58,29,76,159,641
Glen Rice,SG,23,WAS,11,1,109,11,37,5,17,6,20,5,7,4,16,20,7,6,1,9,7,32
Goran Dragic,SG,27,PHO,76,75,2668,552,1093,122,299,430,794,316,416,69,176,245,447,104,22,213,206,1542
Gordon Hayward,SF,23,UTA,77,77,2800,426,1032,85,280,341,752,311,381,62,329,391,400,110,40,212,155,1248
Gorgui Dieng,C,24,MIN,60,15,818,113,227,1,1,112,226,59,93,103,197,300,39,30,50,54,108,286
Greg Monroe,PF,23,DET,82,82,2690,504,1015,0,1,504,1014,241,367,256,504,760,171,91,47,166,205,1249
Greg Oden,C,26,MIA,23,6,212,27,49,0,0,27,49,13,23,23,31,54,1,7,13,12,52,67
Greg Smith,C,23,HOU,11,0,100,18,28,0,0,18,28,2,5,11,16,27,0,1,2,5,17,38
Greg Stiemsma,C,28,NOP,55,20,1007,70,122,0,1,70,121,19,32,72,154,226,36,35,57,44,169,159
Greivis Vasquez,SG-PG,27,TOT,79,23,1779,277,658,109,289,168,369,95,108,20,153,173,323,31,5,128,143,758
Gustavo Ayon,C,28,ATL,26,14,429,52,102,0,0,52,102,8,20,42,83,125,28,25,10,29,47,112
Hamady N'Diaye,C,27,SAC,14,0,74,3,9,0,0,3,9,0,1,5,13,18,3,0,4,3,15,6
Harrison Barnes,SF,21,GSW,78,24,2204,271,679,66,190,205,489,130,181,66,245,311,116,65,20,84,158,738
Hasheem Thabeet,C,26,OKC,23,0,192,13,23,0,0,13,23,1,5,9,31,40,1,4,9,14,47,27
Hedo Turkoglu,SF,34,LAC,38,0,392,42,109,22,50,20,59,9,18,11,78,89,33,19,10,16,50,115
Henry Sims,C,23,TOT,46,25,875,130,274,0,1,130,273,90,121,104,133,237,52,28,20,41,116,350
Hilton Armstrong,C,29,GSW,15,1,97,9,19,0,0,9,19,7,16,19,28,47,5,4,4,6,11,25
Hollis Thompson,SF,22,PHI,77,41,1742,171,372,67,167,104,205,52,73,73,174,247,73,53,12,60,144,461
Ian Clark,SG,22,UTA,23,0,172,26,67,11,31,15,36,5,7,3,16,19,15,8,2,14,24,68
Ian Mahinmi,C,27,IND,77,1,1248,91,189,0,1,91,188,90,145,107,150,257,24,41,72,58,207,272
Iman Shumpert,SG,23,NYK,74,58,1962,183,484,76,228,107,256,53,71,81,227,308,129,92,13,79,209,495
Isaiah Canaan,PG,22,HOU,22,0,252,31,87,18,55,13,32,21,29,7,17,24,22,8,4,21,25,101
Isaiah Thomas,PG,24,SAC,72,54,2497,496,1096,127,364,369,732,346,407,47,163,210,454,93,8,213,185,1465
Ish Smith,PG,25,PHO,70,1,1006,119,281,1,23,118,258,22,39,31,98,129,179,49,13,65,66,261
J.J. Barea,PG,29,MIN,79,1,1471,254,656,73,231,181,425,79,100,16,138,154,303,26,0,125,129,660
J.J. Hickson,PF,25,DEN,69,52,1859,332,654,0,8,332,646,150,290,206,426,632,96,47,51,128,177,814
J.J. Redick,SG,29,LAC,35,34,987,181,398,73,185,108,213,97,106,9,65,74,78,28,3,42,65,532
J.R. Smith,SF,28,NYK,74,37,2421,396,955,189,480,207,475,90,138,35,261,296,219,65,20,108,196,1071
Jae Crowder,SF,23,DAL,78,8,1254,130,296,50,151,80,145,46,61,46,148,194,60,59,21,41,100,356
Jamaal Franklin,SG,22,MEM,21,0,161,16,39,5,11,11,28,2,2,4,19,23,6,4,2,11,23,39
Jamaal Tinsley,PG,35,UTA,8,5,110,4,20,1,15,3,5,0,0,2,9,11,23,2,0,9,10,9
Jamal Crawford,SG,33,LAC,69,24,2094,421,1011,161,446,260,565,279,322,34,124,158,223,59,12,135,120,1282
Jameer Nelson,PG,31,ORL,68,68,2179,294,747,136,391,158,356,96,112,29,202,231,476,52,5,166,146,820
James Anderson,SG,24,PHI,80,62,2309,309,717,115,351,194,366,77,106,59,241,300,149,74,28,106,154,810
James Harden,SG,24,HOU,73,73,2777,549,1205,177,483,372,722,576,665,61,283,344,446,115,29,265,177,1851
James Johnson,SF,26,MEM,52,4,956,143,308,22,87,121,221,76,90,60,106,166,111,42,57,66,102,384
James Jones,SF,33,MIA,20,6,236,31,68,28,54,3,14,7,11,2,21,23,9,3,4,4,6,97
James Nunnally,SF,23,TOT,13,0,165,15,46,8,25,7,21,6,9,1,18,19,8,6,2,7,11,44
James Southerland,SF,23,TOT,4,0,30,5,15,3,6,2,9,1,2,0,8,8,0,1,2,1,3,14
Jan Vesely,PF,23,TOT,54,1,776,89,173,0,0,89,173,19,56,81,110,191,21,53,35,36,121,197
Jannero Pargo,PG,34,CHA,29,0,242,52,118,24,60,28,58,8,11,1,19,20,52,14,1,26,17,136
Jared Cunningham,SG,22,TOT,13,0,80,6,21,1,7,5,14,13,16,1,5,6,8,3,0,2,16,26
Jared Dudley,SF,28,LAC,74,43,1729,196,447,81,225,115,222,38,58,36,124,160,104,41,10,56,146,511
Jared Sullinger,PF,21,BOS,74,44,2041,384,899,56,208,328,691,158,203,241,360,601,118,35,49,119,251,982
Jarrett Jack,PG,30,CLE,80,31,2252,286,698,63,185,223,513,125,149,22,201,223,324,56,22,133,133,760
Jarvis Varnado,PF,25,TOT,24,0,339,36,60,0,0,36,60,27,52,19,44,63,13,10,29,10,62,99
Jason Collins,C,35,BRK,22,1,172,11,24,0,3,11,21,3,4,7,12,19,4,8,1,7,30,25
Jason Maxiell,PF,30,ORL,34,13,488,47,105,0,0,47,105,15,31,28,58,86,9,8,20,14,47,109
Jason Smith,PF,27,NOP,31,27,830,131,282,0,0,131,282,39,50,51,130,181,29,11,29,28,100,301
Jason Terry,PG,36,BRK,35,0,570,55,152,39,103,16,49,10,15,4,33,37,56,13,0,27,48,159
Jason Thompson,PF,27,SAC,82,61,2007,251,496,0,0,251,496,84,145,153,374,527,53,32,56,95,251,586
JaVale McGee,C,26,DEN,5,5,79,17,38,0,0,17,38,1,1,10,7,17,2,1,7,8,16,35
Jeff Adrien,PF,27,TOT,53,12,961,143,275,0,0,143,275,76,119,102,204,306,38,24,36,39,108,362
Jeff Ayres,PF,26,SAS,73,10,952,101,174,0,0,101,174,38,55,89,169,258,60,13,25,63,146,240
Jeff Green,SF,27,BOS,82,82,2805,482,1171,135,396,347,775,283,356,54,326,380,138,57,47,165,180,1382
Jeff Teague,PG,25,ATL,79,79,2542,456,1040,74,225,382,815,318,376,34,174,208,528,89,17,232,158,1304
Jeff Withey,C,23,NOP,58,4,684,69,129,0,1,69,128,52,73,49,101,150,26,15,50,20,73,190
Jeffery Taylor,SF,24,CHA,26,8,629,82,218,18,67,64,151,26,47,15,45,60,22,13,5,25,62,208
Jeremy Evans,SF,26,UTA,66,4,1209,175,332,0,2,175,330,51,75,120,190,310,44,42,46,40,139,401
Jeremy Lamb,SG,21,OKC,78,0,1538,263,609,88,247,175,362,51,64,27,162,189,115,56,26,61,143,665
Jeremy Lin,PG,25,HOU,71,33,2054,295,662,82,229,213,433,218,265,34,153,187,294,68,27,176,166,890
Jeremy Tyler,C,22,NYK,41,0,398,60,116,0,0,60,116,26,48,38,71,109,8,6,20,26,70,146
Jermaine O'Neal,PF,35,GSW,44,13,883,125,248,0,0,125,248,99,132,85,157,242,25,14,40,52,102,349
Jerryd Bayless,PG,25,TOT,72,19,1686,248,617,76,212,172,405,94,118,22,123,145,194,60,9,82,161,666
Jimmer Fredette,SG,24,TOT,49,0,519,107,227,40,84,67,143,19,21,8,44,52,64,14,3,48,35,273
Jimmy Butler,SG,24,CHI,67,67,2591,275,693,68,240,207,453,260,338,87,243,330,175,127,36,102,106,878
Joakim Noah,C,28,CHI,80,80,2820,380,800,0,2,380,798,247,335,282,618,900,431,99,121,194,245,1007
Jodie Meeks,SG,26,LAL,77,70,2556,413,892,162,404,251,488,221,258,30,164,194,138,111,4,111,119,1209
Joe Johnson,SG,32,BRK,79,79,2575,462,1018,162,404,300,614,159,195,48,222,270,216,47,10,120,129,1245
Joel Anthony,C,31,TOT,33,0,186,12,32,0,0,12,32,4,8,15,23,38,2,3,12,3,17,28
Joel Freeland,C,26,POR,52,0,727,77,162,0,2,77,160,20,29,88,120,208,36,10,22,32,95,174
John Henson,PF,23,MIL,70,23,1856,344,639,0,1,344,638,91,177,171,326,497,113,41,116,114,185,779
John Jenkins,SG,22,ATL,13,0,158,16,42,4,18,12,24,4,4,3,19,22,11,1,1,11,11,40
John Lucas III,PG,31,UTA,42,6,591,62,190,25,84,37,106,10,16,12,27,39,42,14,0,22,41,159
John Salmons,SG-SF,34,TOT,78,8,1726,150,413,63,163,87,250,40,52,20,143,163,147,47,19,54,124,403
John Wall,PG,23,WAS,82,82,2980,579,1337,108,308,471,1029,317,394,38,295,333,721,149,40,295,219,1583
Jon Leuer,PF,24,MEM,49,0,642,121,246,23,49,98,197,37,47,37,121,158,20,18,13,27,63,302
