Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Price,SG,27,MIN,28,0,99,19,46,6,22,13,24,0,2,1,9,10,13,1,0,7,5,44
Aaron Brooks,PG,29,TOT,72,12,1557,233,581,96,248,137,333,83,95,43,97,140,233,52,13,117,146,645
Aaron Gray,C,29,TOT,37,6,355,27,61,0,1,27,60,11,20,42,69,111,22,10,8,31,64,65
Adonis Thomas,SF,20,TOT,6,1,37,6,14,1,5,5,9,1,1,0,3,3,3,0,0,1,6,14
Al Harrington,PF,33,WAS,34,0,511,82,207,34,100,48,107,27,35,15,65,80,28,14,0,34,72,225
Al Horford,C,27,ATL,29,29,958,238,420,4,11,234,409,58,85,66,178,244,76,27,44,64,56,538
Al Jefferson,C,29,CHA,73,73,2553,700,1376,3,15,697,1361,191,277,156,636,792,155,67,79,124,176,1594
Al-Farouq Aminu,SF,23,NOP,80,65,2045,234,494,13,48,221,446,91,137,129,367,496,114,82,38,88,147,572
Alan Anderson,SF,31,BRK,78,26,1773,194,485,84,248,110,237,92,118,40,135,175,81,48,11,62,147,564
Alec Burks,SG,22,UTA,78,12,2193,380,831,50,143,330,688,279,373,59,198,257,212,69,14,149,190,1089
Alex Len,C,20,PHO,42,3,362,33,78,0,0,33,78,20,31,39,60,99,4,4,18,26,68,86
Alexey Shved,SG,25,MIN,63,0,664,76,237,30,102,46,135,68,90,21,60,81,68,26,16,48,36,250
Alexis Ajinca,C,25,NOP,56,30,951,136,249,0,1,136,248,56,67,94,183,277,40,23,46,63,187,328
Allen Crabbe,SG,21,POR,15,0,100,12,33,6,14,6,19,3,4,1,8,9,6,2,1,3,10,33
Alonzo Gee,SF,26,CLE,65,24,1020,98,236,19,58,79,178,43,61,35,114,149,47,39,15,44,96,258
Amar'e Stoudemire,C,31,NYK,65,21,1466,311,558,0,0,311,558,150,203,112,208,320,34,23,37,91,159,772
Amir Johnson,PF,26,TOR,77,72,2214,344,612,20,66,324,546,91,143,172,333,505,115,56,88,123,271,799
Anderson Varejao,C,31,CLE,65,29,1800,227,459,0,7,227,452,92,135,187,442,629,140,69,39,72,164,546
Andray Blatche,PF,27,BRK,73,7,1618,321,674,15,54,306,620,164,221,120,270,390,112,75,38,110,166,821
Andre Drummond,C,20,DET,81,81,2619,479,769,0,2,479,767,137,328,440,631,1071,35,101,131,110,273,1095
Andre Iguodala,SF,30,GSW,63,63,2040,220,458,62,175,158,283,86,132,53,240,293,263,95,18,100,103,588
Andre Miller,SG,37,TOT,58,2,982,106,231,11,21,95,210,60,77,28,102,130,197,34,9,61,75,283
Andre Roberson,SG,22,OKC,40,16,399,33,68,2,13,31,55,7,10,36,58,94,15,19,10,19,74,75
Andrea Bargnani,C,28,NYK,42,39,1257,222,502,30,108,192,394,84,102,69,153,222,45,14,52,58,100,558
